text,hs
sdyqy ant abn jameh allebh akbr mn dae $ allebh snyh $ yeyp waeadp twzye dymwgrafy bswrya,0
w mslhp lbnan tbd > bastxraj alnft w algaz lwqf al $ hadp w h*h nqtp def lbnan lybqy rhn syasat aqlymyp w...,0
ya jbran basyl ya melm ya rys ya asta* bdk hdn swrya rwh lendwn mbrwk elk slfa halhdn anma alhlm lebthlmw edmna mrah ysyr,0
ma smena jearkm mbarh ely alqsf al < sra } yly yly agtsb sma ' swrya  nbah w ewyl jy $ abw $ hatp wsl lqbrs,1
nsyhp ahky me alr } ys my $ al ewn aw hajm jbran basyl mlyar dwlar jabw mn qtr $ kra qtr,0
m $ em ynamwa allyl lyqdmwlna hkwmp,0
ya eybw elyky ya < yran em thwy < rhabyyn telmy mn alsewdyp drsyhm endk wbetyhm lbra,1
hl terf mameny > n tdfe dwlp ns mlyar dwlar ldwlp > xry mtrnhp < qtsadyaf wkant tsttye > n tstvmrhm...,0
m $ jayy lendk w ely dwlp alxl~fk w fyk tfl < *a m $ eajbk,0
lw fela fy dwlp hdrtk knt balhbs hlq bs llasf,0
> wwwwwwf alsyd hsn yvbt sdq elaqth me jbran basyl bwykylyks yly xatbwa > myrka baleln wbalsr xtab |xr,0
ystahlwa,0
fy mvl h*a alywm wqbl st snwat qam tnzym aldwlp albramylyp b*bh al > tfal walnsa ' balskakyn whrq bedhm > hya ' fy banyas lm...,0
hy } tk ya wy } w akl smk wmtql allylp lhyk em btkwbs ballwa ' evman lhyk tgta mnyh bs tnam ahsn ma taxd brd,0
fdh alfasdyn ms & wlyp kl mwatn $ ryf,0
mtzahr afryqy fy barys yqwl yey $ b $ ar al > sd $ kwr rbk m $ ebttzahr bswrya kan sfqk brmyl jabk bafryqya,0
alamyr tlal hbyb qlbna wbymwn e > ktr mn hyk,0
ma algryb ala al $ ytan meqwl btstxfwa beqwl mnasrynkn banh $ yx eql htwa eql alrhmn braskn wma alkn al...,0
hlq $ w ely myn andgt mn $ an t $ kyl alhkwmp,0
ela ' alxwajp hwy aly $ try albld w dmyr bed syasy albld,0
hyda hsab fxamp alr } ys my $ al ewn > m hsab fxamp jbran basyl,0
lw dwlp thtrm nfsha knt ant ma em thky wla em tzt smk wla em tbet rsayl lw wlp bthtrm nfsha knt mhbws...,0
hyd al $ eb m $ bhajp lamwalkm hyd $ eb bhajp ldma } rkm alga } bp,0
ysed sbahk mealy alwzyr,0
> na bs $ wf ndym w > mvalw kyf byhkw en jbran basyl bt > k~d > ktr anw jbran basyl em y $ tgl sh~,0
kan allh bewnk wbewn aly dafe enk,0
bzn mn hl > w rayh w mn bed ma smetw alsyd $ w hky en sdq jbran basyl kl wahd mn yly byqwlw en haln jmhwr almqawmp...,0
nhn nvq bal qda ' allbnany,0
bda vwrp ely htwa rwbwrtaj sgyr en jbran basyl wanhwh bjmlp ma tkwn mtl jbran,0
drs fy altaryx,0
blbnan mnxbr wmnqwl alhqa } q kma hy la > etqd > n emlyat al < gtyal qamt bha aldwlp > w j...,0
brbhk jmyl mn kysk anw nawy yeml $ glw,0
|lwzyr jbran basyl wzyr lbnany fqt la gyr,0
whab bed zyarth algryb lqa ' xldp mhmth daxlyp drzyp wlys mwjhaf dd > hd lbnan,0
la kl alvwaar klab mtl alnzam hyk jmlp shl qwlha wma btwje alras wbtryhk mn ktyr wje ras wtfkyr alkl klab ly $ ahtm aw adem trf,1
swf tbqy swryh wfyp wmntsrh rgm kl alawjae wtbqy samdh fy wjh alaeda ' swrya alty harbt kl aldwl alerb...,0
ely alrhb ya jmaep alsds,0
mhma tst > jr > $ xas wmlahm wlhmh fasdh la $ reyh lha wla wjwd wla aetbar rsmy alf thyh l $ yx aleql llta } fh...,0
kl alajlal walahtram al > wfya ' byt*krw krm ahl dm $ q dm $ q ahtdnt allbnanyyn fy mhnthm waleraqyyn walflstynyy...,0
> *a jbran basyl yqwdkm waljahl $ yx aljahlyp ysfq llqrd akyd bykwn y...,1
