,text,hs
0,comiendo picada arabe mas rica vida,0
1,@ haryachyzaychyk callate zorra mama duro !,1
2,"acabo escuchar casado diciendo decenas millones subsaharianos ahora mismo reuniendo dinero venir europa . asusta mas , idiota diga cosas tantos tarados deseando creerselas .",0
3,"`` nadie preguntado va costar hombre guantazo situacion.. ? ! ? seguro , menda musulmono va poner denuncia , fallo va ser `` '' culpable '' '' , pandilla musulmonos va esperando delante puerta negocio https : //t.co/djfa63a0t2 ''",1
4,"@ fed_durand callate come sobra , mas zorra",1
5,quiero hacer reina arabe bomboncitocaramel,0
6,@ andreaacata callate perra jajajajajaja,1
7,"`` `` '' reina sur '' '' @ perezreverte , personaje `` '' guero '' '' davila tambien lleva registro cuaderno detalles vuelos realizados transportando droga . cuesta finalmente vida . https : //t.co/oy4zkrjyaj ''",0
8,"@ anderssonboscan vieja zorra imbecil mentirosa , cree solemnes cojudos . senor lenin , favor dignifique ecuador , pobres , cloaca robolucionaria ! !",1
9,"@ rjimenez_perez hijo puta pervertido pedofilo , lacra debe exterminar , basura mierda , mereces vivir",0
10,"@ canalusheresy @ fourty35 @ irantzuvarela , zorra va matona vida ? jajajaja . si soplido desgracias adefesio !",1
11,@ poleorafael mira hijo puta mejor callate gran jeta malparido cualquier virgen pueden vestir den gana culpable desgracia 20que callo venezuela vamos olvidar hijo puta,0
12,tia guarra hacer foto culo puto nazi hace respirando . https : //t.co/frx1dv3vsn,0
13,ea pues solo falta albert rivera vaya algeciras abrazarte inmigrantes subsaharianos,1
14,"@ kobaml claro , hoyo ( cono ) abre tuneladora ( polla ) consentimiento naturaleza . macabra violacion libro .",0
15,racismo hagas enfrijoladas frijoles gueros negros .,0
16,cada puta semana igual . puta carpeta . mono cepeda . merecia quedarse . ojala hagais poquito autocritica apoyais . # otgala7,0
17,"*chica super sufriendo* 'cielo , menstruacion bendicion , maldicion ' mira , zorra , callate # runaways",1
18,"ay dios entere casado ola calor viene dada entrada masiva , papeles , aire subsahariano",1
19,@ relatofeminista cono xd,0
20,"@ adrispears @ 7santy puta beyonce siempre , querido",0
21,"@ britneyspears perra mereces , presentacion work bicth altura , fin hiciste justicia cancion album britney jean presentar cancion programa tv luciendo hermosa , acuerpada subliminal",1
22,"@ vidalsietediez perra , dejes enganar .",1
23,@ pabloalgeo callate concha hermana puta,1
24,puta madre re mil pario rocco callate,0
25,tema inmigracion venezuela bebemos hacer ayer mire programa abogados pidiendo abrir estudio pera trabajar argentina antecedentes hacemos tema mirar estalle,1
26,zorra antoniaaaaaaaa,1
27,@ palbarjh @ edusolanosolano correcto cosa acoso violacion pau razon delicafob,0
28,@ ricardo202 imbecil . sacate rancho cabeza . miles ninas ninos jovenes padecen acoso linea vida real . pendejadas tuiteas mantienen vivo odio hacia jovenes glbti . guia protecc,0
29,@ camposyuliyuli @ pauliitiiz callate vos sos capaz venderte zorra ... .,1
30,lesbi ana xk as probaddo polla,1
