,text,hs,translated_text
0,"`` nao come mel , morde marimbondo ''",0,"`` Do not eat honey, bite Marimboondo ''"
1,"nao pinto , orgulho !",0,"I do not dick, pride!"
2,nao ve merda crepusculo ! pra cinebiografia chuck norris ... .,0,Do not see shit twilight!Cinebiography Chuck Norris ....
3,"nao tapa bundinha , cotovelada costas !",0,"Do not slap Bundinha, elbow back!"
4,diminutivo inho nao acompanha trajetoria homem verdade .,1,Diminutive IHRA does not accompany trajectory man truth.
5,"uns saco , culhoes ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",0,"Sack, Culm!!!!!!!!!!!!!!!!!!!"
6,futebol hoje `` politicamente correto '' `` profissional '' nao coisa homem verdade ... mariquinha..futebol ter porrada,1,Football today `` politically correct '' `'Professional' 'Not a real man thing ... Mariquinha..Football have beat
7,agua ser essencial coisa maricas . cerveja essencial !,1,water is essential maric.Essential beer!
8,`` ... .nao barriga calo sexual ... '',0,`` ... at the belly sexual shut ... ''
9,"`` ... .nao manda ajustar calca , deixa espaco pra smith & wesson entrar acao . ''",0,"`` ... .No it sends calca, leaves Space for Smith & Wesson enter Acao.''"
10,"morte hipsters camisetas cores citricas , morte meias coloridinhas cuequinhas alegres .",0,"Death Hipsters t-shirts Citrus colors, death colorful socks cheerful cueques."
11,"@ homemdeverdade nao namorada , femea temporaria .",1,"@ No girlfriend, Femea Temporary."
12,"apesar serem australia , ac/dc banda homens verdade !",0,"Although they are Australia, AC / DC Band Men Truth!"
13,@ homemdeverdade come frango cru nao `` passarinho `` !,0,@ Manadeverence eats raw chicken no `` Birdas ``!
14,fato : muita mulher @ homemdeverdade mariquinha fresco ai !,1,Fact: A lot of woman @ Manless sea mariquinha ai!
15,"@ homemdeverdade nao usa capa chuva , @ homemdeverdade nada tsunami !",1,"@ real man does not use rain cover, @ real man nothing tsunami!"
16,nao gosta ac/dc @ fodemal nao @ homemdeverdade !,1,Do not like ac / dc @ fodemal no @ mandener!
17,"jamais confunda homem porco @ homemdeverdade , @ homemdeverdade sabe bem hora lavar maos !",0,"Never confuse man pig @ mandebrder, @ mandevety knows good time washing hands!"
18,"@ homemdeverdade usa barba bigode , coisa pelinha lisinha pra gente bunda mulher !",1,"@ Manadevente uses beard mustache, thing hair lisinha for people butt woman!"
19,"@ luizsergiovo : ser pos moderno nao coisa @ homemdeverdade , portanto @ fodemal !",1,"@ LuizSertoVo: Being a modern posing not something @ mandeneracy, so @ fodemal!"
