text,hs
comiendo picada arabe mas rica vida,0
@ haryachyzaychyk callate zorra mama duro !,1
"acabo escuchar casado diciendo decenas millones subsaharianos ahora mismo reuniendo dinero venir europa . asusta mas , idiota diga cosas tantos tarados deseando creerselas .",0
"`` nadie preguntado va costar hombre guantazo situacion.. ? ! ? seguro , menda musulmono va poner denuncia , fallo va ser `` '' culpable '' '' , pandilla musulmonos va esperando delante puerta negocio https : //t.co/djfa63a0t2 ''",1
"@ fed_durand callate come sobra , mas zorra",1
quiero hacer reina arabe bomboncitocaramel,0
@ andreaacata callate perra jajajajajaja,1
"`` `` '' reina sur '' '' @ perezreverte , personaje `` '' guero '' '' davila tambien lleva registro cuaderno detalles vuelos realizados transportando droga . cuesta finalmente vida . https : //t.co/oy4zkrjyaj ''",0
"@ anderssonboscan vieja zorra imbecil mentirosa , cree solemnes cojudos . senor lenin , favor dignifique ecuador , pobres , cloaca robolucionaria ! !",1
"@ rjimenez_perez hijo puta pervertido pedofilo , lacra debe exterminar , basura mierda , mereces vivir",0
"@ canalusheresy @ fourty35 @ irantzuvarela , zorra va matona vida ? jajajaja . si soplido desgracias adefesio !",1
@ poleorafael mira hijo puta mejor callate gran jeta malparido cualquier virgen pueden vestir den gana culpable desgracia 20que callo venezuela vamos olvidar hijo puta,0
tia guarra hacer foto culo puto nazi hace respirando . https : //t.co/frx1dv3vsn,0
ea pues solo falta albert rivera vaya algeciras abrazarte inmigrantes subsaharianos,1
"@ kobaml claro , hoyo ( cono ) abre tuneladora ( polla ) consentimiento naturaleza . macabra violacion libro .",0
racismo hagas enfrijoladas frijoles gueros negros .,0
cada puta semana igual . puta carpeta . mono cepeda . merecia quedarse . ojala hagais poquito autocritica apoyais . # otgala7,0
"*chica super sufriendo* 'cielo , menstruacion bendicion , maldicion ' mira , zorra , callate # runaways",1
"ay dios entere casado ola calor viene dada entrada masiva , papeles , aire subsahariano",1
@ relatofeminista cono xd,0
"@ adrispears @ 7santy puta beyonce siempre , querido",0
"@ britneyspears perra mereces , presentacion work bicth altura , fin hiciste justicia cancion album britney jean presentar cancion programa tv luciendo hermosa , acuerpada subliminal",1
"@ vidalsietediez perra , dejes enganar .",1
@ pabloalgeo callate concha hermana puta,1
puta madre re mil pario rocco callate,0
tema inmigracion venezuela bebemos hacer ayer mire programa abogados pidiendo abrir estudio pera trabajar argentina antecedentes hacemos tema mirar estalle,1
zorra antoniaaaaaaaa,1
@ palbarjh @ edusolanosolano correcto cosa acoso violacion pau razon delicafob,0
@ ricardo202 imbecil . sacate rancho cabeza . miles ninas ninos jovenes padecen acoso linea vida real . pendejadas tuiteas mantienen vivo odio hacia jovenes glbti . guia protecc,0
@ camposyuliyuli @ pauliitiiz callate vos sos capaz venderte zorra ... .,1
lesbi ana xk as probaddo polla,1
asi piensan putos moros mierda vienen s pais . asco https : //t.co/ky4lbnuyrm,1
armar complot matar presidente saben ... # sudacas..,1
"@ pepebeisbol deja dolor , maldito resentido . primera perra magayllinera siempre pendiente hace leones . madre cogio caraquista resentimiento , pajuo ?",1
"si ensenaron compartir , perra ! ! !",1
diferencia comida mexicana comida arabe da diarrea diarrea explosiva,1
"romperles puta cara asco dais , mereceis peor pase babosos , machistas cerdos mierda . https : //t.co/9pxsffccpa",0
"zorra abuela , imbecil .",0
callate maldita zorra . nervioso . https : //t.co/nqclcxbttk,1
"karma existe , algun dia recibiras mereces haber sido tan hijx puta",0
"mira , puta polla ver coreanos tl solo twitter decide buena idea ensenarme putos likes gente , verdad , putos cojones ver tontos .",0
puta madre finn chiellini puro loco gracias benatia mereces pinche cielo # forzajuve vamos juventus,0
@ somosredsaime amigos saime nombre walter perez v-13.899.989 wperez001 @ gmail.com 16/03/2017 cita aun imprimen pasaporte indocumentado extranjero ayuda porfavor necesito urgente gracias . @ nestorreverol https : //t.co/yydkmq9mxs,0
"@ pankedios @ barbijaputa historia popular inventa pueblo . decide inventarse parte , aprovechando provocar gente . tio molesta ver poneis corregir ciertas gilipolleces mientras q luego escandaliza",0
@ kanouted10s @ kike57108578 dice claramente novia sevillista puta mas ... evidentemente refiere sevillistas putas,1
"alegro paso puto negro colombiano tetela volcan , extorsionar gente pais aunque poblano alegro deberian hacer sudacas centroamericanos vienen delinquir pais ... hijos puta lacras .",1
@ acciomalfxy jajajajajajajajajajajajajajajajajajajajajajajajajajaja puta madre mereces usarme meme siempre,0
terrible tema activar arabe papichamp jaajaaja,0
"sone q decia simon poxyran q novia re linda q enamorada juan , re puta madre si tan solo real",0
"triunfador . publicaciones redes sociales exito , vi subiste muchas fotos guitarrista guero ano , chingo encorazonas . hora celebrarlo mejor manera , comprando amazon perdido mercado libre",0
"mas rosas mas sonrisas . mujeres gritando zorra guarra , puede ser mas imbecil ? # 21darv https : //t.co/pdac5cpmza",1
"`` musica arabe , rachid taha cancion `` '' rayah '' '' , hermosa cancion voz diga ... # mexico https : //t.co/w5ve3rqced https : //t.co/w5ve3rqced ''",0
"gente opina aborto jamas sido madre , pasado alguna violacion acoso ... https : //t.co/twuzlrne8m",0
ser tonto poner tuit bomba foto nino polla cara mashup baneos,0
"provocacion , respuesta . hijos puta tiras piedras rompen vallas , lloren caguen palos",0
"@ caraotadigital tocoron perra , culpable",1
"mientras , inmigrantes tipo ayudas . mas 3,5 millones espanoles viven menos 350 euros mes https : //t.co/4po0xeidkl via @ lasextatv",1
@ oliviagolosa @ aracojelona pues abre grande ocico perra voy meter vendre cara zorra pendeja dignidad,1
`` jajajajaja senora pasa . refugiados inmigrantes ilegales . si piensas tratar pobres refugiados creo deberias observar alrededor ver aqui mucha gente pobre conceden `` '' estatuto '' '' hablas https : //t.co/n7amognmnq '',1
"enserio salvaron piquin ? vigna re merecia ser salvada , coreo transmitio alegria hermosa.la re puta madre",0
"embajada venezuela emiratos arabes unidos condena atentado terrorista presidente @ nicolasmaduro . mundo arabe condena vil acto pais , pueblo , daran cabida tan miserable accion @ nicmaduroguerra @ cancilleriave @ jaarreaza @ catiacandanga https : //t.co/5g6zl2bzbg",0
mmmmm mas kerias ensenar chchis pinche bieja puta ! ! ! !,1
negratas asquerosos pasa anda si hace blanquito femi nacis comen https : //t.co/ed280bvd9e,1
@ alvenef @ leavieilletoile callate perra,1
injusto ... hijos puta mereciais empate xd @ cdeportivolugo,0
"@ muyliberal calles carcel , hacer puta vez",0
"@ dselenaaaa callate zorra seguro 9174829283 chicos , importa amas mas seguro extranas abrazos , fin .",1
"puede permitir tolerar , vayan hacer salvaje punetero pais estan civilizar ! ? - @ elconfidencial : mas 20 guardias civiles heridos , cal viva , tras salto valla ceuta https : //t.co/4nmcsxkvhk",1
vamos hacerlo ' ensenaron va conector medio hijo puta !,0
@ lopezdoriga culpa gobiernos corruptos arreglos escoria . ojala muera perra ...,1
"@ ivanantoniocam3 @ futbolstarscf lees , hijo perra",0
@ luiisspm @ youtube callate perra rato empedamos,1
@ multimediostv cierto danna paola gata asquerosa soportable zorra celosa fan camy g defiendo olla solo chavo aun asi defiendo leeiste oistes danna paola babosa,1
callate maldita escoria ! acaso sabes hablas ? ! hablas baron explodo kills mejor heroe u.a destrozara jodida cara mierda ! hare arrepientas metas asquerosas idioteces orto ! https : //t.co/lxqnhmqzfd,0
@ martharoldos @ fevillavicencio @ cleverjimenez69 callate zorra hdp,1
morra puso foto perfil sale bieeeeeen perra ensenando chicheee nalga ... alvvvvvvvv patas hobitt pedooooooooo,1
"`` nunca reconocido `` '' derecho retorno '' '' similar colectivo refugiados mundo , hecho , ningun momento planteo -ni plantea- similar mas 800.000 judios expulsados paises arabes tras independencia israel ''",0
"persona guarra alguien mantiene correcta higiene personal , ver ensenar cuerpo ?",0
# ciberactivismo revolucion # derechoshumanos # tunez . # mujeres primera linea # revolucion arabe . https : //t.co/2ufl6wubd3,0
ayer # tanger # morocco charlamos senora marroqui comento estan bastante hartos # inmigracion ilegal subsahariana . ocupan viviendas vacias luego acudir juzgado echar okupas,1
@ arnaldootegi @ osakidetzaejgv vascos puta madre siempre . hideputa .,0
"@ perraysex solo ladito , cuatro , penetrarte mereces puta , perra divina , mas zorra ! despues voltearte echarte leche garganta , casi poder respirar , llores goces mientras sientes leche caliente bajando garga",1
@ zurine3 llamarles intelectuales cosmetica traka . xddd ! cono panten hago cono quiero # alamierda,0
@ mendes98luks callate vos pedazo escoria # paraguayneedsshawn,0
"# buenviernes # mayate si banas esperes cobrar cena , guapos apestan .",0
 inmigracion legal solo satisface 4 % necesidades agricultura  https : //t.co/58kborzmom,0
gusta comida arabe ? aprende hace falafel https : //t.co/ieyltd9smw # siguemeytesigo,0
dices super puta diste numero chamo conocias ... callate nina rata,1
bueeeen quilombo jajaajaj . merecias zorra,1
"@ iduvina zorra terrorista , imbecil ignorante sos vos .",1
"iglesias , carmena , otero , bardem wyoming ofrecen residencias inmigrantes ceuta https : //t.co/nmgbqjdcr6",0
@ jesussanchezji4 solo hago q ensenaron ser # puta,0
"culpa mia uuuuo , zorra novia quiere arrancar , culpa mia , uuuuo",1
funcionaria denuncia acoso violacion poder judicial : 'me violaron docena veces ' - # am1080 https : //t.co/5n4l5i7kzh https : //t.co/9ey5lgez1r,0
vicepresidente diputacion alicante disculpa tras pedir  deportaciones masivas  inmigrantes https : //t.co/zphcdch5ks,0
@ twocomunica @ gar12tel @ inesarrimadas @ ciudadanoscs 'bandera espana ' escoria mereceis cosa . https : //t.co/m5stq0sj7o,0
"hoy diversitas universos diversos visita paulo konig , juez tw . preparamos # 8a agenda , invitacion panuelazo # martesverdeendiversitas @ nadhyzu @ radio_sudaca @ faustosiriczma1 @ laromib https : //t.co/y5ewllw8f1",0
conscientes mal pasan perros culpa petardos polla,0
@ ro_valdess puta callate quiero tener pelo naranjaaa va quedar horrible negra,0
novia normal persona ponga tannnnn hija puta ? ? ? ? ? ?,0
"@ ah0gadx nerea callate puta boca , aprende jugar mas campeones chone",0
@ ketonto jajja digas tonterias . jordi respondido puta madre .,0
"pais debe supervisar inmigrante , lamentablemente parasitos posiblemente cometieron delitos # venezuela anarquia actual complace sigan delinquiendo . https : //t.co/d3vza6pm0f",1
bizcocho arabe coco { azucar } https : //t.co/xsyzexpfk5,0
@ nicolasmaduro callate jeta perra ano pasas,0
"@ stop2invasion nacionalidad mal otorgada comportamientos adientes voluntad integrarse etc..se puede retrotraer , asi menos happy inmigrantes queda quede sanchez",1
puta ana callate zorra .,1
@ hezmick autentico # cateto hables puta idea # payaso https : //t.co/0lqvdlr8ei,0
queda arabe ecko .,0
@ fabsopee perra pega cuernos grupo @ jeonyumii callada peligrosa @ nakamotonanii vale verga rompe corazones https : //t.co/kcnu6wpovu,1
"@ davidav92 callate zorra , mb , deja mios",1
rt asi vuelvo calafate jajajajjsjajs https : //t.co/r3x46ostfj,0
@ gvymc @ wismichu callate puta rata llorando ? ?,0
mira callate puta https : //t.co/ad88mh1adr,1
"voy andando calle dicho cosas arabe acosando dime espanol entienda , asique entiendo cagado puta madre arabe si .",1
"@ jsplassme callate perra , hija perra , sos perra",1
"pones maduro l frontera ? q sepa indocumentado pdn legitima . l q mostro tibitrampa fraude q mama dicese venezolana , nunca nacionalizo . cumples encargo maleante ? https : //t.co/xibew53u7l",0
", cide hamete benengeli , escribi historia caballero moro , enamoradizo aventurero ; mas algun mal cristiano dio imprenta madrid traduccion infiel ver tradicion noches arabes . https : //t.co/mqhsj9arxc",0
@ albert_rivera @ pablocasado_ parece postureo ceuta parece colado https : //t.co/2hkw22txnd,0
espanoles deberian avivarse vender subsaharianos arabia saudita ...,1
"@ oliver_youtube oliverga mierdanez , retrazado mental , escoria , & idolos estan llevando masas ignorancia ! terramierdistas m*erda universo ! retrasados mentales ! ! gente entendimiento ! mueranse terrami",0
mujer buscala delgada limpia gorda guarra volvera .,1
@ yan_lazarte jiditi pir vinir ... callate puta d mierda,1
@ blueeveins calles puta boca hombre ( hecho teclado va voz sabes llama ),0
@ natyburgos15 @ horaciogenta @ paolapa05 callate vos black and bitch puta falsa abogada . espero pudra carcel devuelva . dedicate estudiar serio . droga mala . cristina puta,1
