,text,hs,translated_text
0,j'ai personne a m'adresser reclamer . voisin c'est attarde puant bruyant administrat... @ url,1,I have anyone to talk to me.Neighbor it is attrde stinky noisy administration ... @ URL
1,# duisburg 4 refugies arabes lardent coups couteau ado allemande enceinte 5 mois cru  p... @ url,1,# Duisburg 4 Arab refugees shirt blows German teen knife pregnant 5 months raw p ... @ URL
2, sale juif  mis avant contrairement autres mdr # lejouroujaibrulemoncoeur,1,Dirty Jew put before unlike other mdr # queouroujabruleonoker
3,@ user ramene maladie jerusalem ? ],1,@ user ramene maladie jerusalem ? ]
4,rt @ user y'a meuf classe pleins racisme envers arabes taleur traiter asiatique ching cho,1,rt @ User y'a girl class full racism with arabic taler treat asian ching cho
5,zemmour aphatie radicalite l'un terrorisme intellectuel l'autre ... maladie : ideologies vic... @ url,1,Zemmour aphatie radicalite an intellectual terrorism The other ... illness: iDeologies vic ... @ URL
6,secours catholique ardent promoteur l'ensauvagement l'islamisation l'europe ! catholicisme devo... @ url,1,Showingians Catholic Ardrement the Essuarement ishammance the Europe!Catholicism Devo ... @ URL
7,tue c'est meme offset marre cardi b wallah apars reuss personne peut supporte cette grosse mongol,1,kill it's even offset married cardi b wallah apars reuss nobody can support this big mongol
8,mdrr fallou mongol vrai sai sai regardez deal  pose a  animatrice ... @ url,1,Mdrr Fallou Mongolian True Sai Sai Look at Deal Laying A facilitator ... @ URL
9,40 annees laxisme gauchiste ! ! ! ! @ url,1,40 years leftist laxity!!!!@ URL
10,@ user sunnites autorisent meurtrespedophiliepolygamie violence contre femmes etc.tous pays... @ url,1,"@ User Sunnis authorize murdersDophiliepolygamy violence against women, etc. ... @ URL"
11,@ user @ user fils putes autant quand aime noirs arabes,1,@ User @ User Whores So much when loves Arabs
12,noirs milieu rebeus technique  lyon ca @ url,1,Blacks Medium Rebeus Technical Lyon Ca @ Url
13,kevin bat tous rebeus moustache pr mieux froisser berka # verite,1,Kevin beats all rebeus Mustache PR better offender Berka # verity
