,text,hs
0,gleich wand stellen erschiessen..,1
1,gleich wand stellen erschiessen..,1
2,"grundbotschaft post 's widersprechen wurde , 1 rechtschreib- 1 grammatikfehler kurzen beschreibung starkt leider clichee `` blau-wahler hirn '' politischen gegenuber .",0
3,`` wand stellen erschiessen '',0
4,seit `` wand stellen erschiessen '' deutschland etwa 60 jahre her .,0
5,ja ja kriminelle heimatpartei fpo kinderpornografie beim orts chef burgenlabd waffenhandel betrug verhetzung korperverletzung falscher zeugenaussage mord rfj ... .bezirksleiter schiet 13 jahrige uber haufen bundesrat wegen wiederbetatigung verurteilt,0
6,"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1
7,"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1
8,"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1
9,"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1
10,wahnsinn ... . : - (,0
11,traumatisierte kindlein . grunen bezahlten anwalte schon richten . ?,0
12,fachkrafte arbeit . hirnchirurg atomphysiker ...,0
13,"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1
14,"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1
15,staune osterreich problem rasch ankam . eigentlich sin immer 40jahre danach,0
16,multi kulti,0
17,"eigenen land bleiben , konnen untereinander totschlagen ... ... ... .",0
18,supie ! loschen gegenseitig ! hoffentlich bald !,1
19,supie ! loschen gegenseitig ! hoffentlich bald !,1
20,jagt dreckspack raus .,1
21,jagt dreckspack raus .,1
22,"regierung , polizei schaut bitte lass mal selber dezimieren schont",0
23,freut gutmenschen aufwachen,0
24,beide volksgruppen sofort ausweisen eizige legitime mittel,0
25,"warum hauen osis drauf konnens geschichte , dauernd ungerechtugterweise vorgehalten . lander schlechte machthaber , spricht druber immer frau kriegt mund",0
26,raus herkommen problem gelost ! ! ! !,0
27,mussen laut merkel leben . sage raus denen sollen merkel direkt nehmen,0
28,dreckspack entsorgen .,1
29,dreckspack entsorgen .,1
30,r a u s p a c k,1
31,r a u s p a c k,1
32,"..hat volksgruppen tun , findet deutschen standig statt : rockergruppen , hooligans usw .",0
33,ab hause gibt genug waffen killen ! problem gelost,1
34,ab hause gibt genug waffen killen ! problem gelost,1
35,warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1
36,warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1
37,supa gail !,0
38,hoffentlich tut ordentlich weh ! ! !,1
39,schade uberlebte,1
40,schade uberlebte,1
41,hoffentlich verbleibt o lebenslang pflegefall !,0
42,"rube garnitur abfahren sollen , arsch .",1
43,"rube garnitur abfahren sollen , arsch .",1
44,"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1
45,"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1
46,klar steuergelder notoperiert . gleich ne u-bahn losgeschickt . einpacken ticket algerien stirn drucken ... ... ... ... ... ... ... ..,0
47,"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1
48,"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1
49,"richtig krimos raus deutschland , naturlich deutschen krimos !",0
50,weniger,0
51,hoffentlich verreckt facharbeiter,1
52,hoffentlich verreckt facharbeiter,1
53,wer bezahlt hubschraubereinsatz fur verbrecher ?,0
54,gleich bestaft super brauchen kei gericht,0
55,gesindel . tut leid .,1
56,gesindel . tut leid .,1
57,"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1
58,"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1
59,mal eben kommentare bzw . deren verfasser ? ? .,0
60,politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1
61,politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1
62,kriminelle auslander ... ... liegen lassen solln ...,1
63,dumm gelaufen fur arschloch,1
64,dumm gelaufen fur arschloch,1
65,rein landle gesocks . platz,1
66,rein landle gesocks . platz,1
67,raus,0
68,top mehr gesocks !,1
69,top mehr gesocks !,1
70,raus rattenpack,1
71,raus rattenpack,1
72,raus sofort krieg fangt schon,0
73,lasst schiffe versenken ...,1
74,lasst schiffe versenken ...,1
75,"wieso festgenommen , gleich nachschmeien meer !",1
76,"wieso festgenommen , gleich nachschmeien meer !",1
77,drecks pack . ...,1
78,drecks pack . ...,1
79,spielen bimbos versenken,1
80,spielen bimbos versenken,1
81,tja mal herzlich willkommen christlichen land bescheuerten gutmenschen ! ! !,1
82,tja mal herzlich willkommen christlichen land bescheuerten gutmenschen ! ! !,1
83,hetze,0
84,dafur gibts torpetos,0
85,gebt schnell bohrer,0
86,nazis..traurig,1
87,nazis..traurig,1
88,"ganze bereicherung verdanken christlich verblodeten vollpfosten . kardinal francesco montenegro , sizilianischer erzdiozese agrigent fluchtlingsinsel lampedusa zahlt , appellierte italiener , fluchtlingsnotstand verschlieen . ganze bevolkerungen wurden derzeit bewegung setzen , konne wegschauen .",1
89,"ganze bereicherung verdanken christlich verblodeten vollpfosten . kardinal francesco montenegro , sizilianischer erzdiozese agrigent fluchtlingsinsel lampedusa zahlt , appellierte italiener , fluchtlingsnotstand verschlieen . ganze bevolkerungen wurden derzeit bewegung setzen , konne wegschauen .",1
90,manchmal macht eben richtige mischung ... ! ! !,0
91,warum schleppt dieseschiffe zuruck afrika ? ?,0
92,na vielleicht merken jetz vielen gutis wahren grund aktionen ! ! ! aufwachen ! ! !,0
93,"zuruck schicken , garnicht erst land lassen..",0
94,"genug genug , brauchen teppichbruder ! ! !",0
95,roth fur mehr fluchtlinge lief gerade tv roth einziehen losung,0
96,"fresse , labert scheisse ... ..",0
97,"echt kotzen , andauernd kommentare geloscht",0
98,"sicher . schade , deutschen moglich d verlassen . ware interessant unfagigen politiker hinstellen pack `` bereichern ''",1
99,"sicher . schade , deutschen moglich d verlassen . ware interessant unfagigen politiker hinstellen pack `` bereichern ''",1
100,"sags ja immer gerne : lautesten toleranz schreien , intolerantesten . rein land ganzen gesocks .",1
101,"sags ja immer gerne : lautesten toleranz schreien , intolerantesten . rein land ganzen gesocks .",1
102,demnachst deutschlands moschen salafistenveranstaltungen straen . hoch politiker .,0
103,schiff entern zuruck schleppen versenken,1
