text,hs
"`` nao come mel , morde marimbondo ''",0
"nao pinto , orgulho !",0
nao ve merda crepusculo ! pra cinebiografia chuck norris ... .,0
"nao tapa bundinha , cotovelada costas !",0
diminutivo inho nao acompanha trajetoria homem verdade .,1
"uns saco , culhoes ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",0
futebol hoje `` politicamente correto '' `` profissional '' nao coisa homem verdade ... mariquinha..futebol ter porrada,1
agua ser essencial coisa maricas . cerveja essencial !,1
`` ... .nao barriga calo sexual ... '',0
"`` ... .nao manda ajustar calca , deixa espaco pra smith & wesson entrar acao . ''",0
"morte hipsters camisetas cores citricas , morte meias coloridinhas cuequinhas alegres .",0
"@ homemdeverdade nao namorada , femea temporaria .",1
"apesar serem australia , ac/dc banda homens verdade !",0
@ homemdeverdade come frango cru nao `` passarinho `` !,0
fato : muita mulher @ homemdeverdade mariquinha fresco ai !,1
"@ homemdeverdade nao usa capa chuva , @ homemdeverdade nada tsunami !",1
nao gosta ac/dc @ fodemal nao @ homemdeverdade !,1
"jamais confunda homem porco @ homemdeverdade , @ homemdeverdade sabe bem hora lavar maos !",0
"@ homemdeverdade usa barba bigode , coisa pelinha lisinha pra gente bunda mulher !",1
"@ luizsergiovo : ser pos moderno nao coisa @ homemdeverdade , portanto @ fodemal !",1
"@ homemdeverdade pega forte cintura femea , coisa delicadeza nessas horas desses jonnys manes citricos bunda mole !",1
"@ homemdeverdade nao pode ser vegetariano , gente sempre topo cadeia alimentar !",1
"fato : plena extincao , mundo sendo dominado bibasexuais , creminhosexuais , saladinhasexuais , metrosexufrangas !",1
foco resistencia antifrangas modernas culhoes !,0
"confissoes @ homemdeverdade : hora banho , toma pressa , curte agua , nao limpa umbigo soca bronha ( melhor parte ) !",1
vc namorado diz nao olha gostosas nao bate umazinha nunca ! fuja : franguinha carater ! ! !,1
"rt @ heto : cientificamente comprovado . nao curte pornozinho , nao @ homemdeverdade",1
"rt @ gmarangoni terry richardson , fotografo calendario pirelli 2010 , profissao : @ homemdeverdade - http : //tinyurl.com/yghn7oa",0
@ homemdeverdade gosta @ averdadeeh rodeios ... .,0
"enciclopedia @ homemdeverdade : futebol = hora sagrada , churrasco , cerveja gelada , nao gosta vaza ! femeas shopping !",1
"mestre carinho ... luiz carlos alborghetti ( 12/02/1945-9/12/2009 ) : jornalista , radialista culhoes @ homemdeverdade r.i.p . !",0
@ xxxtrabold claro ! @ homemdeverdade nao comentou nada porque algumas horas luto reflexao sobre obra . brinde mestre ...,0
@ dadoqueiroz @ homemdeverdade nao acompanha time meninas !,1
@ homemdeverdade manda salve pra imagem semana : amamos ! ! ! - http : //bit.ly/7uebm0,0
@ homemdeverdade fez servico cara silvio berlusconi !,0
"@ lenazzo , @ homemdeverdade , ter 2 filhos 24 territorios escolha ... .",1
rt @ lenazzo @ homemdeverdade nao paga pau . paga mocreia tirar zica .,1
"so pra deixar claro , @ homemdeverdade nao faz clube macho , turminha foda , merdas machistas baitolas recatadas !",1
rt @ chastinet : pro @ homemdeverdade construcao resume duas coisas : concreto madeira .,1
rt @ lenazzo : @ homemdeverdade eh akele q sabe procriar deixar vestigios .,1
