,text,hs,translated_text
0,# rosenmontag abgesagt . # rapefugees gewohnt schwimmbad gehen !,1,# Rose Monday canceled.# Rapefugees are used to swimming pool!
1,bitte # turkei # eu-mitglied ! # menschenrechte # pressefreiheit # islamisierung,0,Please # Turkey # EU member!# Human rights # Press freedom # Islamization
2,wieso bekommen # rapefugees mehr hartz 4 enpfanger ? # esreicht,0,Why get # Rapefugee more Hartz 4 Enfanger?# it is enough
3,verfluchten # rapefugees krieg erklaren ! # wasfehlt,1,Scared # Rapefugees war!# What is missing
4,"wochenende ruhrpott unterwegs . uberall schwangere , muslimische frauen rattenschwanz kindern # islamisierung",1,"Weekend Ruhrpott on the way.Away Pregnant, Muslim Women's Rat Tail Children # Islamization"
5,"# asylanteninvasion straen gewaltausbruchen kommt - verantwortlichen hierfur , sitzen regierung / merkel !",0,"# ASYLANT INVASION Start violence is coming - Responsible for this, sitting government / Merkel!"
6,745 millionen menschen leben # europa . ca . 4 millionen # fluchtlinge bereiten kopfzerbrechen ? # rassisten sprechen # islamisierung ? !,0,745 million people live # Europe.Approx.4 million # escapeons prepare headache?# Racists speak # Islamization?Being!
7,tja # spd steuergelder fur fluchtlinge verpassen . # refugees # refugeesnotwelcome # refugeesgohome # abmerkeln,0,Tja # SPD missing taxpayers for refugees.# Refugee # Refugees Not Welcome # REFUGEES GO Home # Eveliction
8,fur kolner polizei gestiegene anzeigen grund : frauen seien anzeigefreudiger 2015 . # rapefugees,0,For Kolner police rising indications Reason: Women are displaying in 2015.# Rapefugees
9,"offenes , freies wlan # sophienhof # kiel . grund fur vorfalle gestern nachmittag ! zuruck kabul # rapefugees !",0,"Open, free Wi-Fi # Sophienhof # Kiel.Reason for incidents yesterday afternoon!Back Kabul # Rapefugees!"
10,"# unterdenlinden # petry fordert bessere regelung gesetze fur # asylanten # migranten . richtig , warum getan ?",0,"# Under the Linden # Petry calls for better control laws for # asylum # migrants.Right, why done?"
11,regeln gesetze einheimischen versto menschenwurde . # hungerstreik # rapefugees,0,Rules laws native violence people.# Hunger strike # Rapefugees
12,"# blutrache , # zwangsbekehrung , # scharia , # kinderbraute , # vielehe , # genitalverstummelung - erkennen , davon gehoren .",1,"# Bloodtrache, # Stress, # Sharia, # children's brides, # realism, # genital mutilation - identifying, including."
13,"worin liegt sinn fur bierindustrie , # islamisierung beschleunigen # deutsche biertrinker # glyphosat dezimieren ?",0,"What is the sense of beer industry, # Islamization accelerate # German beer drinkers # Glyphosat decimated?"
14,"claudia # roth : wer sex-attacken asylanten anprangert , geistiger bruder  tater ! fuck you from switzerland ! # asylanten # grune",0,"Claudia # Roth: Who enrolls sex attacks asylums, mental brother tader!Fuck You FROM Switzerland!# Asylum # grune"
