,text,hs
0,rt @ spardaxyz : fadli zon mendagri menonaktifkan ahok gubernur dki https : \/\/t.co\/kh5virwpdo,0
1,rt @ baguscondromowo : melukai aksi rangka memenjarakan ahok ahok gagal pilkada .,0
2,sylvi : gurbernur kekerasan perempuan ? buktinya ibu2 foto bareng # debatfinalpilkadajkt,0
3,"ahmad dhani puas debat pilkada , jalan bekasi terungkap https : \/\/t.co\/m3hoppluid\u2026",0
4,rt @ lisdaulay28 : waspada ktp palsu ... ..kawal pilkada https : \/\/t.co\/oooerqv4sm,0
5,"@ felixsiauw bnyak agamis yg dibahas , pilkada , tingkat keimanan sebatas pilkada ? ? ? ?",0
6,@ saidaqil maksud pernyataan . ? mengaminkan kriminalisasi ahok ? ? hati2 jg dg mulutmu ! https : \/\/t.co\/h4odvay0md,0
7,ahok integrasikan transportasi publik sistem single ticketing\u2026 https : \/\/t.co\/42ph7pqv0b # infotribun,0
8,"ahok melawan korupsi ibukota , bangun infrastruktur , mencoba memperbaiki trobosan works well .",0
9,"awasi kecurangan pilkada , agus - sylvi pakai aplikasi https : \/\/t.co\/xwzw4nufiu",0
10,"gak jokowi ahok ? kalem , melengkapi . : ' )",0
11,"bos makan istana ga , undang noh makan istana gebang tapinya https : \/\/t.co\/ns6cuycpuj",0
12,cuti habis ahok gubernur dki ? pengamat : mengada-ada | republika online https : \/\/t.co\/t3kzvq9e4e,0
13,debat pilkada dki jakarta digelar jumat malam . https : \/\/t.co\/e9ixz6jllr,0
14,demonstran fpd malteng desak bawaslu hentikan tahapan pilkada maluku,0
15,"didesak berhentikan ahok ngeles cuti pilkada , kampanye habis kemendagri ragu-ragu https : \/\/t.co\/92ss4trdcx",0
16,"gila gara2 pilkada , tokoh menampakkan watak aslinya .",0
17,gontor izinkan santrinya pulang kampung nyoblos pilkada dki | republika online https : \/\/t.co\/jhnot8ecnz,0
18,"gubernur non-aktif dki jakarta , basuki tjahaja purnama ahok , berencana merombak struktur jabatan pegawai ... https : \/\/t.co\/cdkezxf9xo",0
19,hebat .. ! ! ! imam masjid istiqlal : kalimat ahok 100 % penistaan agama .. ! ! sebarkan,0
20,"ibu2 aja , kalo beli telor pake milih2 sblm ditimbang . pdh telor mirip2 . ibu2 , telor yg busuk",0
21,ahok terkait persiapan debat pilgub besok https : \/\/t.co\/s6rlsar7y9,0
22,pesan ahok pers nasional # kitapastipernah https : \/\/t.co\/h0l6mrjm3r,0
23,istighotsah ahok catut logo nu https : \/\/t.co\/u2rpy3c25r,0
24,ngomong pilih ahok djarot ngerasain banjir ga sih ? : (,0
25,iya aja deh dripada hoax ...,0
26,pelacur.belia yg dijual orang tuanya.sendiri pantura.demi sesuap nasi https : \/\/t.co\/x5ddr7m693,0
27,yg nyebar hoax ketahuan akun twitter nya lho,0
28,mpok @ sylviana_murni-nya tolong mas @ agusyudhoyono,0
29,bidara beli mangga . pulang nye liwat slipi . lupa ingetin tetangga . milih agus sylvi . # 7harilagimilihahy # agusbersamaulama,0
30,serius selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 # pilkadadki2017 # debatfinalpilkadajkt,0
31,sylvie sukses blunder bikin paslon 1 drop elektabilitasnya fitnah spin salah pilih kader # debatfinalpilkadajkt,0
32,ahok : mari berlomba program # debatfinalpilkadajkt,0
33,# debatfinalpilkadajkt aduh ... kecewa paslon 1 ... .,0
34,rt @ agusdansylvi : # debatfinalpilkadajkt pilih nomor 1 . sektor informal dimajukan mas agus mpok sylvi .,0
35,rt @ jtmor : ahok pilihan terbaik jakarta,0
36,rt @ augustfrankto : # debatfinalpilkadajkt bu silvy curhat dimarahi ahok ... hehe..,0
37,mantap ahok # debatfinalpilkadajkt,0
38,ahok gagah kaya gatot kaca ! # debatfinalpilkadajkt,0
39,telaaaakkk nomer satuuuu . nghahahaha # debatfinalpilkadajkt,0
40,lomba adu program # debatfinalpilkadajkt # skaksilvi,0
41,# debatfinalpilkadajkt denger program janji tau pas ga dijalankan males aja sih .,0
42,debat cagub dki 3 - 10 februari 2017 - segmen 3 mantap ahok skak sylviana murni\n\n # debatfinalpilkadajkt,0
43,silvy rada maksa.. # debatfinalpilkadajkt,0
44,"tanggal 15 , pas pilkada sy gak milih siapa-siapa ah !",0
45,"pribadi prefer muslim kapabilitas , lihat kondisinya ahok pilihan plg realistis kemajuan dki",0
46,"mendukung mas anies anti ahok ,",0
47,spanduk tolak salatkan pembela penista agama muncul kalibata https : \/\/t.co\/sr1pbytign,0
48,# debatfinalpilkadajkt telak banget anjir ngakak !,0
49,ayo berlomba program fitnah2 # debatfinalpilkadajkt,0
50,rt @ deelestari : nggak ngantuk ! yeay ! # debatfinalpilkadajkt,0
51,duh dibilang ga program paslon 1 ... kesian kesian kesian ... # debatfinalpilkadajkt,0
52,"tuntut keadilan penista agama , puluhan jawara betawi ikuti aksi 212 jilid ii https : \/\/t.co\/hwvuozyyov",0
53,keras nih ahok # debatfinalpilkadajkt,0
54,paslon 3 anies sandiaga uno 15 feb 2017 utk jakarta indonesia raya ok oce,0
55,sesuai namanya : ronde final\n\n # debatfinalpilkadajkt,0
56,"mendagri pusing , ma emoh keluarkan fatwa status gubernur penista agama https : \/\/t.co\/j34amqimni",0
57,tolong adu program,0
58,genderang perang kencang # debatfinalpilkadajkt,0
59,mpok sylvi udah emosi \ud83d\ude02\n # debatfinalpilkadajkt,0
60,some people gabisa bedain kasar . # debatfinalpilkadajkt,0
61,beliau pemimpin hebat indonesia ! bangga https : \/\/t.co\/nawbps9xpt https : \/\/t.co\/5cc2u9aiev,0
62,@ informasidki bu silvy jg pengen foto ahok hihihi # debatfinalpilkadajkt,0
