,text,hs,translated_text
0,comiendo picada arabe mas rica vida,0,eating chopped Arabic richer life
1,@ haryachyzaychyk callate zorra mama duro !,1,@gryachyzaychyk Callate Zorra Mama Durro!
2,"acabo escuchar casado diciendo decenas millones subsaharianos ahora mismo reuniendo dinero venir europa . asusta mas , idiota diga cosas tantos tarados deseando creerselas .",0,"I just heard married by saying tensions millions sub-Saharan right now gathering money coming Europe.Scare more, idiot Say so many tantus things wishing to believe them."
3,"`` nadie preguntado va costar hombre guantazo situacion.. ? ! ? seguro , menda musulmono va poner denuncia , fallo va ser `` '' culpable '' '' , pandilla musulmonos va esperando delante puerta negocio https : //t.co/djfa63a0t2 ''",1,"`` Nobody asked is going cost man guantazo situation ..?!?Sure, Menda Muslim is paying a complaint, I'm going to be `` '' guilty '' '', Gang Muslims is waiting for in front door business https: //t.co/djfa63a0t2 ''"
4,"@ fed_durand callate come sobra , mas zorra",1,"@ Fed_Durand Callate eats, more bitch"
5,quiero hacer reina arabe bomboncitocaramel,0,I want to make queen Arabe Bomboncitocarramel
6,@ andreaacata callate perra jajajajajaja,1,@ andreaacata callet bitch hahahahahaha
7,"`` `` '' reina sur '' '' @ perezreverte , personaje `` '' guero '' '' davila tambien lleva registro cuaderno detalles vuelos realizados transportando droga . cuesta finalmente vida . https : //t.co/oy4zkrjyaj ''",0,"`` `` '' '' queen sur '' '' @ perzrerte, character `` '' guero '' '' Davila also has a notebook record Details Flights made Car transporting drugs.It finally costs life.https: //t.co/oy4zkrjyaj ''"
8,"@ anderssonboscan vieja zorra imbecil mentirosa , cree solemnes cojudos . senor lenin , favor dignifique ecuador , pobres , cloaca robolucionaria ! !",1,"@ Andersonboscan Old Imbecil Liar Zorra, believes solemn holes.Senor Lenin, please dignify Ecuador, poor, robological sewer!!"
9,"@ rjimenez_perez hijo puta pervertido pedofilo , lacra debe exterminar , basura mierda , mereces vivir",0,"@ rjimenez_perez son perverted pedophilo, scourge must exterminate, garbage shit, you deserve to live"
10,"@ canalusheresy @ fourty35 @ irantzuvarela , zorra va matona vida ? jajajaja . si soplido desgracias adefesio !",1,"@ Canalusheresy @ Fourty35 @ irantzuvarela, Zorra goes Matona Vida?LOL .If I blow up Mishards Adefesio!"
11,@ poleorafael mira hijo puta mejor callate gran jeta malparido cualquier virgen pueden vestir den gana culpable desgracia 20que callo venezuela vamos olvidar hijo puta,0,@ PoleoraFael Mira Son Better Best shut up Great Jeta Malparid Any Virgin can dress guilty misfortune 20 that callo venezuela we forget son bitch
12,tia guarra hacer foto culo puto nazi hace respirando . https : //t.co/frx1dv3vsn,0,Tia slut making photo ass fucking Nazi makes breathing.https: //t.co/frx1dv3vsn.
13,ea pues solo falta albert rivera vaya algeciras abrazarte inmigrantes subsaharianos,1,I just miss Albert Rivera Go Algeciras hug you sub-Saharan immigrants
14,"@ kobaml claro , hoyo ( cono ) abre tuneladora ( polla ) consentimiento naturaleza . macabra violacion libro .",0,"@ Kobaml clear, hole (cone) Opens tunnelladora (cock) Consent Nature.Macabra violation book."
15,racismo hagas enfrijoladas frijoles gueros negros .,0,Racismo Has chilled beans black wipes.
16,cada puta semana igual . puta carpeta . mono cepeda . merecia quedarse . ojala hagais poquito autocritica apoyais . # otgala7,0,Every bitch same week.Whore folder.Mono cepeda.He deserved to stay.I hope you do little self-critic you support.# Otgala7.
17,"*chica super sufriendo* 'cielo , menstruacion bendicion , maldicion ' mira , zorra , callate # runaways",1,"* Super girl suffering * 'sky, menstruation bless, curse' look, slut, shut up # Runaways"
18,"ay dios entere casado ola calor viene dada entrada masiva , papeles , aire subsahariano",1,"Oh God Married Wave Heat comes GIVED Massive entrance, papers, sub-Saharan air"
19,@ relatofeminista cono xd,0,@ Relatofeminator cone xD
20,"@ adrispears @ 7santy puta beyonce siempre , querido",0,"@ Adrispears @ 7Santy whore Beyonce always, dear"
21,"@ britneyspears perra mereces , presentacion work bicth altura , fin hiciste justicia cancion album britney jean presentar cancion programa tv luciendo hermosa , acuerpada subliminal",1,"@ Britney Spears Bitch Mereces, Presentation Work Bitch Height, Finished Justice Song Album Britney Jean Submit Song Program TV Looking Beautiful, Subliminal Agreement"
22,"@ vidalsietediez perra , dejes enganar .",1,"@ Vidal Sietediez Bitch, let's escape."
23,@ pabloalgeo callate concha hermana puta,1,@ PabloAlgeo shut up shell sister whore
24,puta madre re mil pario rocco callate,0,fucking mother re thousand pario rocco callate
25,tema inmigracion venezuela bebemos hacer ayer mire programa abogados pidiendo abrir estudio pera trabajar argentina antecedentes hacemos tema mirar estalle,1,Immigration Theme Venezuela Baby Let's do Yesterday Look Program Lawyers Asking Open Studio Pear Work Argentina Background We make theme look Estalle
26,zorra antoniaaaaaaaa,1,Zorra Antoniaaaaaaaa
27,@ palbarjh @ edusolanosolano correcto cosa acoso violacion pau razon delicafob,0,@ palbarjh @ edusolanosolano right thing harassment violation pau delicfob
28,@ ricardo202 imbecil . sacate rancho cabeza . miles ninas ninos jovenes padecen acoso linea vida real . pendejadas tuiteas mantienen vivo odio hacia jovenes glbti . guia protecc,0,@ Ricardo202 imbecil.Sate ranch head.Thousands of young children suffering from harassment Line real life.Belled Tuiteas keep hate towards Young Gltti.Protective Guide
29,@ camposyuliyuli @ pauliitiiz callate vos sos capaz venderte zorra ... .,1,@ Camposyuliyuli @ Pauliitiiz shut up you are able to sell you slut ....
30,lesbi ana xk as probaddo polla,1,Lesvi per HK let me change a lot
