text,hs
gleich wand stellen erschiessen..,1
gleich wand stellen erschiessen..,1
"grundbotschaft post 's widersprechen wurde , 1 rechtschreib- 1 grammatikfehler kurzen beschreibung starkt leider clichee `` blau-wahler hirn '' politischen gegenuber .",0
`` wand stellen erschiessen '',0
seit `` wand stellen erschiessen '' deutschland etwa 60 jahre her .,0
ja ja kriminelle heimatpartei fpo kinderpornografie beim orts chef burgenlabd waffenhandel betrug verhetzung korperverletzung falscher zeugenaussage mord rfj ... .bezirksleiter schiet 13 jahrige uber haufen bundesrat wegen wiederbetatigung verurteilt,0
"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1
"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1
"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1
"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1
wahnsinn ... . : - (,0
traumatisierte kindlein . grunen bezahlten anwalte schon richten . ?,0
fachkrafte arbeit . hirnchirurg atomphysiker ...,0
"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1
"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1
staune osterreich problem rasch ankam . eigentlich sin immer 40jahre danach,0
multi kulti,0
"eigenen land bleiben , konnen untereinander totschlagen ... ... ... .",0
supie ! loschen gegenseitig ! hoffentlich bald !,1
supie ! loschen gegenseitig ! hoffentlich bald !,1
jagt dreckspack raus .,1
jagt dreckspack raus .,1
"regierung , polizei schaut bitte lass mal selber dezimieren schont",0
freut gutmenschen aufwachen,0
beide volksgruppen sofort ausweisen eizige legitime mittel,0
"warum hauen osis drauf konnens geschichte , dauernd ungerechtugterweise vorgehalten . lander schlechte machthaber , spricht druber immer frau kriegt mund",0
raus herkommen problem gelost ! ! ! !,0
mussen laut merkel leben . sage raus denen sollen merkel direkt nehmen,0
dreckspack entsorgen .,1
dreckspack entsorgen .,1
r a u s p a c k,1
r a u s p a c k,1
"..hat volksgruppen tun , findet deutschen standig statt : rockergruppen , hooligans usw .",0
ab hause gibt genug waffen killen ! problem gelost,1
ab hause gibt genug waffen killen ! problem gelost,1
warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1
warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1
supa gail !,0
hoffentlich tut ordentlich weh ! ! !,1
schade uberlebte,1
schade uberlebte,1
hoffentlich verbleibt o lebenslang pflegefall !,0
"rube garnitur abfahren sollen , arsch .",1
"rube garnitur abfahren sollen , arsch .",1
"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1
"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1
klar steuergelder notoperiert . gleich ne u-bahn losgeschickt . einpacken ticket algerien stirn drucken ... ... ... ... ... ... ... ..,0
"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1
"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1
"richtig krimos raus deutschland , naturlich deutschen krimos !",0
weniger,0
hoffentlich verreckt facharbeiter,1
hoffentlich verreckt facharbeiter,1
wer bezahlt hubschraubereinsatz fur verbrecher ?,0
gleich bestaft super brauchen kei gericht,0
gesindel . tut leid .,1
gesindel . tut leid .,1
"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1
"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1
mal eben kommentare bzw . deren verfasser ? ? .,0
politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1
politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1
kriminelle auslander ... ... liegen lassen solln ...,1
dumm gelaufen fur arschloch,1
dumm gelaufen fur arschloch,1
rein landle gesocks . platz,1
rein landle gesocks . platz,1
raus,0
top mehr gesocks !,1
top mehr gesocks !,1
raus rattenpack,1
raus rattenpack,1
raus sofort krieg fangt schon,0
lasst schiffe versenken ...,1
lasst schiffe versenken ...,1
