text,hs
# rosenmontag abgesagt . # rapefugees gewohnt schwimmbad gehen !,1
bitte # turkei # eu-mitglied ! # menschenrechte # pressefreiheit # islamisierung,0
wieso bekommen # rapefugees mehr hartz 4 enpfanger ? # esreicht,0
verfluchten # rapefugees krieg erklaren ! # wasfehlt,1
"wochenende ruhrpott unterwegs . uberall schwangere , muslimische frauen rattenschwanz kindern # islamisierung",1
"# asylanteninvasion straen gewaltausbruchen kommt - verantwortlichen hierfur , sitzen regierung / merkel !",0
745 millionen menschen leben # europa . ca . 4 millionen # fluchtlinge bereiten kopfzerbrechen ? # rassisten sprechen # islamisierung ? !,0
tja # spd steuergelder fur fluchtlinge verpassen . # refugees # refugeesnotwelcome # refugeesgohome # abmerkeln,0
fur kolner polizei gestiegene anzeigen grund : frauen seien anzeigefreudiger 2015 . # rapefugees,0
"offenes , freies wlan # sophienhof # kiel . grund fur vorfalle gestern nachmittag ! zuruck kabul # rapefugees !",0
"# unterdenlinden # petry fordert bessere regelung gesetze fur # asylanten # migranten . richtig , warum getan ?",0
regeln gesetze einheimischen versto menschenwurde . # hungerstreik # rapefugees,0
"# blutrache , # zwangsbekehrung , # scharia , # kinderbraute , # vielehe , # genitalverstummelung - erkennen , davon gehoren .",1
"worin liegt sinn fur bierindustrie , # islamisierung beschleunigen # deutsche biertrinker # glyphosat dezimieren ?",0
"claudia # roth : wer sex-attacken asylanten anprangert , geistiger bruder  tater ! fuck you from switzerland ! # asylanten # grune",0
februar 2016 kamen neusten angaben # ard tagesschau trotz grenzkontrollen balkanroute 39000 # asylanten # deutschland,0
unterbringung gefangnis verbrechen begangen versto menschenwurde. # hungerstreik # rapefugees,1
# merkel schlampe eigentlich idee gekommen land tiefgreifend verandern ? # merkelmussweg # refugeesnotwelcome,0
# weltfrauentag farce angesichts # merkeldiktatur vorangetriebenen # islamisierung # europas !,0
"gratis hauser , wohnungen , handys u. offitickets # mindestsicherung , straffreiheit , vorreihung ambulanzen , schlaraffenland o # zib2 # asylanten",0
# beateuhse konzern vermarktet # scharia konforme sexprodukte - bitte boykottiert firma .,0
"laut # orban # merkel europa neuen 500.000 # asylanten fluten zusatzlich millionen , sowieso kommen . ende gelande d",0
wahlen # griechenland riesige # asylanten-kontingente abnehmen . wetten ? # annewill,0
moment ernst-grube-halle endlich geraumt # leipzig # npd # jn # legida # refugeesnotwelcome,0
"# illner . erst hie , kamen top arbeitskrafte . lese wichsenden , vergewaltigenden , betrugenden # asylanten . # merkel",1
# merkel `` '' '' '' bezogen . volk kummern . # annewill # refugees # refugeesnotwelcome,0
