text,hs
america another 8 years obama 's ideology via hillary 'd well way shithole country .,1
canadians never met seen associated person currently labelled \retarded\ . plan t\u2026 @ url,0
hahaha grow faggot @ url,0
@ user queue fucking retarded makes everyone feel like n't even chance make fcfs fucksake,1
@ user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,1
dude i\u2019m tired retarded,0
pretty sure employee philip green called 'balding racist sexist twat ' would perceived dismi\u2026 @ url,0
@ user @ user btw . allowed say \shithole\ countries ? also allowed say wes\u2026 @ url,0
bitch retarded \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 hate @ url,0
@ user still bitter cunt . much interest arsenal ? n't player player fod us get sold .,1
@ user @ user losely quote trump/trumpers . dont need immigrants - vietnam country ... . @ url,0
children = 52 % refugees,1
right ? negro default,1
absolute mongoloid gtfo lmaooo @ url,0
many mdsz 's classical golden scenes cut stupid retarded shitty idea going a\u2026 @ url,0
@ user @ user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h\u2026 @ url,0
@ user okay giving benefits illegal aliens ? ary okay working illegally ? ar ... @ url,1
mongoloid literally said wrong place 15 times . @ url,0
everything better . cunt alive..,0
@ user unaccounted illegal aliens happy . tufail one,0
measures opt keep premises \ud83c\udfe2 office kitchen break/lunch rooms \ud83e\uddf9 spic & amp ; span\u2026 @ url,0
@ user @ user economic asylum isn\u2019t thing . neither \u201cmy country shithole\u201d asylum . \n\nhow m\u2026 @ url,1
retarded toxic femininity \ud83d\ude2a @ url,0
man leave one week first twat nut,1
scomo biggest faggot madden history\ud83d\ude02\ud83d\ude02\ud83d\ude02he bashes everyone anything madden he\u2026 @ url,0
trump hate jews lmfao ya niggas full retard . know work @ user @ user right ? an\u2026 @ url,0
@ user @ user honduras guatemala ? ? ? would considered shithole countries well ?,0
dawg rondo fucking retarded,0
get they\u2019re dead communist literally retard mode,0
@ user welcome twitter club known as.. 've reported far left retarded cry baby.. ! \u2026 @ url,1
damn right mfs retarded @ url,0
@ user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb\u2026 @ url,0
cum eye ball faggot dickhead fucking cunt slut cakes,0
matter hard try always retarded math,1
@ user ching chong style,0
come serve faggots . messages open . looking new faggot fill space wallet . # findom @ url,0
swear boyfriend partially retarded times,1
cunt would walking away @ url,0
@ user yes retarded leader paper tiger .,1
selling dvds hahahaha shop gon na hate woman counter mongy cunt anyway deser\u2026 @ url,1
i\u2019m done dealing little bitches . grow fucking pair cunt .,0
cmon machado fucking mongoloid,0
r \shithole\ countries cuz american & amp ; european imperialist capitalism helped make ... + failing war on\u2026 @ url,0
@ user feminazi detected,0
@ user many dead illegal aliens vote blue november dems worried,0
@ user u dad fucking retard,0
& gt ; n't people n't truly matter even one retarded hold much importance\n\nthey don't\u2026 @ url,0
feel retarded cant,0
baby daddy retarded bitch,0
@ user 's fair nigger !,0
@ user really want turn country shithole . going happen .,0
# dodamage slogan unbelievably stupid . it\u2019s every offense\u2019s goal damage . gives mongoloid boston f\u2026 @ url,1
@ user called shithole countries trump .,0
mr drabu snobby twat ! @ url,0
@ user @ user second grade called dirty jew another second grade girl . made sense ... @ url,0
grandma called faggot today that\u2019s new low,1
literally waited red light five minutes 'm fucking retard,0
@ user ... . roofe pen either ? \n\nfuck cunt.\n\nwe enough win game . fact 're takin\u2026 @ url,1
@ user sure except directly quoting trump\u2019s \u201cshithole countries.\u201d,0
let rot shithole chose . never ever ever let near country @ url,1
i\u2019m looking relationship means i\u2019m trying hoe around ? \ud83d\ude02\ud83d\ude02\ud83d\ude02 retard juice strong,0
carrying retard boy @ user @ url,0
@ user @ user @ user babe ruth dirty jew,1
people get offended insults jokes words like retarded autistic faggot etc . @ url,0
keep mind.. call faggot spanish doesn\u2019t mean can\u2019t still understand .,0
@ user @ user pretty much hes little dick faggot needs ass beat reality check ai n't shit,1
@ user retard .,0
@ user treating like treat dengists 'd probably say \read book retard\ post b\u2026 @ url,0
@ user gon na happen retarded traders get etf approval,0
fat mongy mess today \ud83e\udd15\ud83e\udd15,1
okay really americans fucking mongy @ url,0
fuck ching chong siopao dimsum shit sa question 3 ? ? ? ? cant understand cant c n e x u l z e kasi vague,1
anyways harry styles could call dirty spic id still munch asshole shame,1
cunt . @ user report blasphemy ? @ user @ url,0
kids better live balls shithole country .,0
@ user \u201cyou smell like farted arted ab honor roll f\u2019s retarded\u201d,0
saddest anime cus 's retarded,0
's always liberals threaten \i 'm spic deported\ supporting trump . @ url,1
@ user @ user . skilled human driver save retarded \ai\ job yet . com\u2026 @ url,0
@ user got ta pick spanish cus ca n't spic ass family butchering baby 's name lmao,0
went passed fancy dress shop southside n there\u2019s actual fucking bouncers outside ya cunt imagine kb\u2019d\u2026 @ url,0
@ user trump would press win argument \shithole\ countries . 'm sure adults wo n't le\u2026 @ url,0
@ user @ user pretty sure called spic four times already,0
@ user went full retard,0
@ user @ user yeah long west ham fans ok .fuking retard,1
@ user @ user @ user trump orange presbyterian mongoloid .,0
@ user @ user @ user what\nskip funny fuck love . he\u2019s retard he\u2019s legend,0
@ user ching ching chong rootbox ohhh got youtube money ! ! !,0
britain 2018 . third world shithole.\n\na country sharia leaders cut clitorises baby girls wi\u2026 @ url,0
found everyones origins africa aloud say nigger ? # nohatejustasking,0
24 hours swakopmund namibia # travel # africa # ttot @ url,0
old lesbians called baby dyke : offended . i\u2019m 24,0
@ user agree totally . word retarded n't politically incorrect 's would call dave roberts,0
dave roberts certified retard,1
@ user fuckin retard,1
nyc shithole country god quickly destroyed rudy build shameless @ url,0
@ user well parents like\n'carikla ching chong guy college ',0
@ user @ user look like dyke bruh \ud83d\ude2d,0
@ user look retarded,1
bald twat . \n\nhe ca n't anything tie ! ! @ url,0
pl faggot,0
damn retarded \ud83e\udd26\ud83c\udffd\u200d\u2642\ufe0f,1
think ( late ) immigrants africa likely succeed america black americans .,0
y\u2019all niggas gay hella faggot ass shit,1
@ user yup pretty much . 'm leaving shithole country .,0
truly fucking baffles people genuinely fucking think saying \u201cching chong ling lang ding\u201d actuall\u2026 @ url,0
@ user saying raghead goat one tweet insta-follow standards\ud83e\udd23\ud83e\udd23\ud83e\udd23\ud83d\ude1c,0
@ user @ user shut retard \ud83d\ude02,0
men fucking retarded,0
learn speak ching chong um @ url,0
@ user @ user @ user @ user hildebrand twat pure simple .,0
@ user @ user explaining defend illegal aliens citizens ? @ url,0
@ user spic got eye u ingrates,0
thete nrrd call corina cunt ! need ! !,0
@ user talk retard,0
@ user course feminazi 's roll one . frauds !,1
@ user fuck defector.\nla garbage town garbage fanbase.\nalso fuck ginger-bearded twat turner .,0
s.o.b retard dangerous asshole planet ! shame brasil ! @ url,0
@ user @ user spic polach,1
@ user @ user @ user family reached full retard @ url,0
feminist called fat twat .,1
lol know mean ! nigger got caught . @ url,0
alec : ) \u2014 retarded ( : @ url,0
oh well try hard shithole countries-maybe someday happen !,0
@ user nigga started lagging left retard,0
omg tea ! using terms hurt offend used sorry idc you\u2019re retarded \ud83d\ude10\u2728 @ url,0
remember negro open mind got skin door-wayne,0
exams passed collage thank fuck never go mongy place cheeky pay rise before\u2026 @ url,1
@ user @ user love negro ! ! ! !,1
altered original dyke-esque costume b slutty bc tristan inspires b whore n 's eve n going\u2026 @ url,0
@ user hes burning funko pop like mongoloid,0
mom like ching chong bing bong 're eating bird dinner,0
keep mind negro/so open mind got screen door ! # impressive # carterv,1
@ user @ user @ user @ user @ user 're skipping shithole cities . \ndetro\u2026 @ url,1
truely little mongy ! \ud83e\udd23\ud83d\ude48\ud83d\udc4d\ud83c\udffb . \ud83d\udc47\ud83c\udffb @ url,0
@ user girl give 3 days twitter cunt puts ass lockup . @ url,0
somebody tell faggot ass poe square . show 17 dick riders,0
would beat chink faggot @ url,0
@ user bonge always going full retard . @ url,1
want prove know big cunt ... .shoot & amp ; kill sleeping lion that\u2019ll do\u2026 @ url,0
@ url debating different economic systems models n't go full retard claiming hy\u2026 @ url,0
gator chomp faggot shit i\u2019ve ever seen life .,0
unreal crawling bed 13 hour nightshift next doors yappy little cunt dog wakes \ud83d\ude44,0
etes-vous accord avec bernard kouchner qui dit que nous devrions prendre plus de migrants @ url,0
@ user think lil corrected fucking retarded i\u2019m losing brain cells\u2026 @ url,1
@ user @ user @ user first thought leftist muslim terrorist . wrong . nee\u2026 @ url,0
\here\\n\ni two parts/a person\nboricua/spic\npast present\nalive oppressed\ngiven cultural beauty\n . . . and\u2026 @ url,0
really dig stories immigrants coming usa making killing shit inspiring fr .,0
wasn\u2019t much interest benghazi murders ? don\u2019t even care raghead.journalist ? nah gun\u2026 @ url,0
tweeted last one . doubling cunt . @ url,0
@ user got bollocks put name face tweet though ? pathetic cunt .,0
dan fife biggest retard laconia it\u2019s even close .,0
united gon na ruin fuckin sunday ? lukaku better get dropped shit cunt .,0
@ user @ user see ching chong,0
fucking faggot @ url,0
. jonathan chait retarded ? @ url,1
@ user yeah baby mongy,0
@ user @ user @ user @ user @ user @ user 'm 26 retard,0
@ user hurry faggot wan na see,1
white says wassup nigger made video calling nigger . @ url,1
cause utter bs lying feminazi ford . @ url,0
@ user yeah dodge wager course shitter gig retard go get bruises dad,1
