,text,hs,translated_text
0,sdyqy ant abn jameh allebh akbr mn dae $ allebh snyh $ yeyp waeadp twzye dymwgrafy bswrya,0,My friend You're the son of the university cannabis greater than d $ 2 years old and literature Demographic distribution in Syria
1,w mslhp lbnan tbd > bastxraj alnft w algaz lwqf al $ hadp w h*h nqtp def lbnan lybqy rhn syasat aqlymyp w...,0,In MSLHP Lbnan TBD> BastxRaj Alnft in Algaz LWQF Al $ HADP in H * H NQTP DEF Lbnan Lybqy Rhn Syasat Aqlymype
2,ya jbran basyl ya melm ya rys ya asta* bdk hdn swrya rwh lendwn mbrwk elk slfa halhdn anma alhlm lebthlmw edmna mrah ysyr,0,"O Jabran Basil Ya Mm, O Ris Ya Asti * Bdk, you will be bound to Syria, the spirit of Lynon Congratulations."
3,ma smena jearkm mbarh ely alqsf al < sra } yly yly agtsb sma ' swrya  nbah w ewyl jy $ abw $ hatp wsl lqbrs,1,What is your neighbor?
4,nsyhp ahky me alr } ys my $ al ewn aw hajm jbran basyl mlyar dwlar jabw mn qtr $ kra qtr,0,"Nusha, I will tell you what is $ 1 billion or size of Jabran Bassil"
5,m $ em ynamwa allyl lyqdmwlna hkwmp,0,m $ em ynamwa allyl lyqdmwlna hkwmp
6,ya eybw elyky ya < yran em thwy < rhabyyn telmy mn alsewdyp drsyhm endk wbetyhm lbra,1,O Ibo on you
7,hl terf mameny > n tdfe dwlp ns mlyar dwlar ldwlp > xry mtrnhp < qtsadyaf wkant tsttye > n tstvmrhm...,0,hl terf mameny> n tdfe dwlp ns mlyar dwlar ldwlp> xry mtrnhp <qtsayaf wkant tsttye> n tstvmrhm ...
8,m $ jayy lendk w ely dwlp alxl~fk w fyk tfl < *a m $ eajbk,0,م $ جايي لعندك ولي دولب الكزل ~ User Name Remember Me?
9,lw fela fy dwlp hdrtk knt balhbs hlq bs llasf,0,"If you do not in Dulb, you are with imprisonment"
10,> wwwwwwf alsyd hsn yvbt sdq elaqth me jbran basyl bwykylyks yly xatbwa > myrka baleln wbalsr xtab |xr,0,> wwwwwwf alsyd hsn yvbt sdq elaqth me jbran basyl bwykylylyks yly xatbwa> myrka baleln wbalsr xtab | xr
11,ystahlwa,0,They deserve
12,fy mvl h*a alywm wqbl st snwat qam tnzym aldwlp albramylyp b*bh al > tfal walnsa ' balskakyn whrq bedhm > hya ' fy banyas lm...,0,"At the event of H * A day and six years ago, the Bramillip Dolphn organized by the child and the text of the knives and burned with the annexation of> Come on in Banias ..."
13,hy } tk ya wy } w akl smk wmtql allylp lhyk em btkwbs ballwa ' evman lhyk tgta mnyh bs tnam ahsn ma taxd brd,0,It is ...
14,fdh alfasdyn ms & wlyp kl mwatn $ ryf,0,»A MS & Wlyp Kl Mwatn $ RYF
15,mtzahr afryqy fy barys yqwl yey $ b $ ar al > sd $ kwr rbk m $ ebttzahr bswrya kan sfqk brmyl jabk bafryqya,0,African demonstration in Paris says Yi $ B $ RA> Plug $ Core M $ M $ shows in Syria
16,alamyr tlal hbyb qlbna wbymwn e > ktr mn hyk,0,Prince Talal Habib Heart and Pimon - Qatar from Heck
17,ma algryb ala al $ ytan meqwl btstxfwa beqwl mnasrynkn banh $ yx eql htwa eql alrhmn braskn wma alkn al...,0,Ma algryb ala al $ ytan mekowl btstxfwa beqwl mnasrynknkn banh $ yx eql htwa eql alrhmn braskn wma alkn al ...
18,hlq $ w ely myn andgt mn $ an t $ kyl alhkwmp,0,Easy $ and to Min Mino from $ that i $
19,ela ' alxwajp hwy aly $ try albld w dmyr bed syasy albld,0,ela ' alxwajp hwy aly $ try albld w dmyr bed syasy albld
20,hyda hsab fxamp alr } ys my $ al ewn > m hsab fxamp jbran basyl,0,Haida Account
21,lw dwlp thtrm nfsha knt ant ma em thky wla em tzt smk wla em tbet rsayl lw wlp bthtrm nfsha knt mhbws...,0,If Dolph respects herself you are what I am intelligent and no fish and mother tpt mitril if and your pordped herself I was locked ...
22,hyd al $ eb m $ bhajp lamwalkm hyd $ eb bhajp ldma } rkm alga } bp,0,al $ E Eb M $ Bhajp Lamwalkm Length $ EB Bhajp LDMA} RKM ALGA} BP
23,ysed sbahk mealy alwzyr,0,used sabak mealy alwar
24,> na bs $ wf ndym w > mvalw kyf byhkw en jbran basyl bt > k~d > ktr anw jbran basyl em y $ tgl sh~,0,Password FAQ Members List Calendar Mark Forums Read Thread Tools Posting Rules You may not post new threads You may not post replies You may not post attachments You may not edit your posts On Smilies are On [IMG]
25,kan allh bewnk wbewn aly dafe enk,0,God was with your help and bon on you
26,bzn mn hl > w rayh w mn bed ma smetw alsyd $ w hky en sdq jbran basyl kl wahd mn yly byqwlw en haln jmhwr almqawmp...,0,I wanted to be ...
27,nhn nvq bal qda ' allbnany,0,NHN NVQ Bal Qda 'Allbnany
28,bda vwrp ely htwa rwbwrtaj sgyr en jbran basyl wanhwh bjmlp ma tkwn mtl jbran,0,Forbede seemed to have dropped a small robortage that Jepran Basil and his successor is a maker
29,drs fy altaryx,0,Studied in Tarks
30,blbnan mnxbr wmnqwl alhqa } q kma hy la > etqd > n emlyat al < gtyal qamt bha aldwlp > w j...,0,Bill Lebanon Mansbar and transferred} s as they are not> I believe> n operations <jet carried by dollars and c ...
31,brbhk jmyl mn kysk anw nawy yeml $ glw,0,Your Lord is beautiful than Qaisk Ano Nawi tablets
32,|lwzyr jbran basyl wzyr lbnany fqt la gyr,0,"| For the Minister of Jubran Basil, only Lebanese minister"
33,whab bed zyarth algryb lqa ' xldp mhmth daxlyp drzyp wlys mwjhaf dd > hd lbnan,0,WhatB bead zyars algryb lqa 'Xlp'p Mgth Dxlyp DD> HD LEAS
34,la kl alvwaar klab mtl alnzam hyk jmlp shl qwlha wma btwje alras wbtryhk mn ktyr wje ras wtfkyr alkl klab ly $ ahtm aw adem trf,1,No all spawn heart mutual system heck is easy to say and what is the head and your bacteria from a lot of head and thinking all the heart of me $ I care or not a party
