id,text,hs
41993,@ user sayn baskanm sekilde devam insallah,0
23000,"herkes gevsekligi kadar duyar kasyor , hayat boyle !",0
42478,olgun iliskisi olan arkadas size guzel hediye .,0
21748,@ user @ user burada atp tutacagna kotu kosullarda 3 kurusa sen calssana yiyorsa .,1
13607,@ user iste onur dedigin sende yok sorun iste,1
28439,@ user @ user dusuk satsa sahip hacimli projelerin hepsinde farazi trend cizgilerinin hacimli krls takip edilmeli . hot yakn donemde bunu yapt ciddi bir momentum kazand . krlm sonras gidecegi tahmini tamamen kehanet olur . tavsiyem bir sonraki krlm beklemeniz .,0
14664,@ user alrken annem odaya girdi hay aq,1
22741,"@ user yeniden yaplanma sezon icinde kadro ds kararlar olmaz . taraftara suclu sunmaktr . degil , yonetim gerekceleri acklamaldr .",0
40997,@ user gunaydn melis hanm . hangi yasta olursan ol arada bir delilik yapmak insana iyi geliyor.bence,0
15724,@ user tamamen senin sansszlgn olmus cogu kisiye oyle denk gelip bir izlemiyolar,0
26615,allah'm yanls otobuse bindim sanrm biraz kaybolucam,0
36970,sizin yapmack iliskilerinizi gordukce yalnzlgmla gurur duyuyorm canm kendim gunaydnnnnnn,1
40935,havaya atlan bir tas dusunebilseydi kendi istegiyle yere dustugunu sanrd demis spinoza ustad .,0
23610,hayatta yaptigim bi seyler bi sey bi sey olunca ben,0
22870,olm cezaevinde bile son ses aleyna tilki dinledik kimse bizim fanatikligimizi sorgulamasn .,0
32117,lutfen orospu cocugu olmaynz karakterini siktiklerim,1
42717,@ user @ user siwjsiqjakqjqoqj adamn profiline bak zaten herseyi quaresmayla ilgili,0
28098,"bazlar var gorup cevap vermiyor , bizim kangal m insan yoksa onlar m ?",1
11285,trump demis suriyeden ksa zaman icinde ckacagz # projeterororgutleri verdigin sil alp defol trump,1
12325,"@ user gidin bi kurban kesin , hamama gidin.. bisey yapn . cenabetliktir arkadas .",1
41056,@ user hala devam ediyosa bi tane banaaa,0
15960,"memem olsa surekli dekolte giyer , hareketimde frikik verirdim",0
40042,"cok basit bir numarayd , beni mi hafife aldn yoksa zekan m elvermedi",1
35161,@ user aynen kadn beni farketmedi amnza koyarm bos yapmayn,1
11994,@ user iste ilginc ksm oras acklamak ister misin sen bana demek istiyosun ona gore tekrar alnmayim ustume,0
41830,allah nasl kurtard beni sendennn,0
39601,hala hogwarts mektubum gelmediginden oluyor tum bunlar .,0
40159,"parasn odedigim urunum hala gonderilmedi , aradm , elimizde yok dediler",0
19772,# fazlasozegerekyok -adamlar buyuttuler sonra terorist ilan ettiler . -eee demek istiyorsun ? *.cocugu feto elebas terorist degil mi ? ben gece belay bulurum bakalm hayrls..,1
35199,@ user astronomi astroloji karstrp duruyoruz bilim dal eglence icin yaplms bir sey burclar degil kisiliginizi belirleyen seyler hayat icin beslendiginiz tum etken cevre faktorler not arada ben basak ; - ),0
39580,"@ user oldu tezgahnz ortaya cknca nasl sinirlenmeye basladn . anan baban sagsa utanc duyuyodur senin bi evlatlar oldugu icin , isin gucun uc kurus icin oldugu malum bir adam ovmek .",1
16821,"insaf hakikate sahitlik yaparak allah'a bagllgnzda sk durun herhangi bir kimseye kars nefretiniz , sizi adaletten sapma gunahna itmesin . ( maide 5/8 )",0
30453,keske dediklerimiz vardr . keske kokusunu icime alsam keske gozlerinin icin doya doya bakp seni seviyorum demeyi keske ellerini tutsam gonlume koyup kalp seni seviyor senden baskasna yar olma demek istiyor . ... .,0
45902,eve geldim makyajm silmeye erindim once yuzumu ykadm makyajm temizledim iceri gectim babam bagrarak diyo allahm bi insann makyajsz hali kadarmi guzel olur yaaaaav xd krem surmemi bile istemiyo yuzume,0
18728,"@ user oyumu recep tayyip erdogan 'a verdim , operasyondan onun haberi olduguna inanmyorum dedigini hepimiz duyduk , hic sknt yapma sen adres belli",0
31336,"@ user taliscay al serbest oynasn naslsa yerden gol atyor ljajic oyun kursun kagawa offf zor soru iyi snavlarda boyle soru ckmyor , cunku talisca akldan ckmyor..",0
18812,@ user aynen 1 saat once falan gok delindi resmen nasl yagdysa kimse temmuz aynda oldugumuza inanmaz,0
12284,dunya ; kotuluk yapanlar degil seyirci kalp hicbirsey yapmayanlar yuzunden tehlikeli bir yerdir ... albert einstein,0
27734,zihnimizi sadece kendimiz ozgur brakabiliriz,0
19214,@ user imparator buyuk takmlar dedi zaten lig 4 uncusunden bahsetmedi,1
33019,zaman salak kararszdm,1
38049,puhahhahhaha kurus degil durus he bir masum mor menekseler sizi sizin rizedeki buyuk aslaniniz serkan cinardan baskasi degil ulan ! !,1
11817,3 fava calsmay brakr yatarm cok yoruldum favlar esirgemeyelim lutfen,0
24933,@ user bazen insanlar ikiye ayrilir yaninizdakiler aklinizdakiler,0
45591,insanlar harbiden hardcore geri zekal . klinik psikolog olacak bir densiz cluster b uzerine yazdgm seyi gorup `` ilgin var m ? '' diyor .,1
41822,tum ongoruler tek tek iflas ediyor ... olmazlarn oldugu bir devirden geciyoruz .,0
10377,artk kadar alstm seye gulup geciyorum,0
43488,ruyamda hulusi akar  a ogretmenler gunu sarksn soyledim . cok begendi .,0
25792,@ user aksam tv izlemek yerine kitap okuruz,0
40730,@ user kendime bir iyilik yapp cok dikkatli izlemedigim bir filmdi . ondan oturu .,0
33263,@ user gulusunde bir sey var icime dokunur,0
19221,@ user @ user @ user @ user @ user @ user @ user @ user elestiriye tahammul edemeyen insanlarla tartsmam . boyle dediniz emriniz basustune deyip beynime mi hukmedeceksiniz ? fikirlerim mi degisecek ? kald gidin bir secmenle konusun bir zahmet ! nasl oy kaybettigimizi gorursunuz .,0
31363,bana bir yerden tandk geldi neyse : ) ) kafamz kuma gomelim iyisi,0
29659,"@ user agznda yara var , bogaznda yara var , ds etlerin hassas , elini srp kanatyorsun.. kan kesin agznda var",0
24587,elbar icin tum dua kabul haklarm film kullandm galiba gunden sonra istemedigim varsa oldu,0
37722,"boyle arada bir sinir geliyor , durmuyor",0
20643,"@ user @ user @ user @ user @ user @ user somuruyu benimsemisler , gorduklerini yeni birsey sanp gorgusuzlugu adet edinmisler , bide bunu matah birsey sanp resimlerle ispat etme cabasndalar aklszlar",1
19816,"@ user demek terketme , sfrladklar , sfrlayamadklar , komisyonlar yerine koymadan , soyulan talan edilen kaynaklarn hesabn vermedenmi ?",0
23388,"@ user @ user @ user mustafa kemal sorunu olan akl yoksunu insanlar tartsmyorum , beni kendi halime brakabilirsin .",1
42464,"@ user @ user fransa  avrupa  nn diger bir ulkesinde , bir meclis baskannn ckp ,  kadnn sesli gulmesi , ahlakszlktr  diyebildigini duydunuz ? diyanet isleri  nin kadn dovebilirsiniz , erkek kz cocuguna kars sevhet duyabilir dedigine sahit oldunuz ?",0
42705,@ user iyiymis cok aydn bir nesil geliyor bak kant,0
40858,ask olsana oglum delendirme beni,0
31118,@ user silivri biraz snmstr gerci .,0
23307,"@ user insani luzumlu yapan parasi degil , karakteri , kisiligidir .",0
27837,busram otur yerine dedim sana busram,0
32910,hadi biraz yalan soyleyin inanalm,0
29414,@ user @ user agrlgn koyan bir batman lazm,0
30370, yangnsan yanalm hic sknt degil . ,0
45809,@ user gulecegiz mi demek istedin yoksa guler mi anlayamadm,0
36227,@ user tis gorunus onemli deyil guzelik gecicidr onemli olan insann ic guzelligi sevilmesi kartesim benim,0
10133,@ user seni hemde anen guzel gotunu sikiyim cnm,1
11746,@ user @ user @ user isine geldimi yapanc kaynaklara bakn gelmedimi onlar gavur yalan yazar ii salyon zurnann son deli ahmey,0
22986,hekimevi # sapknzihniyet incelme yalnz basna cevrilgen,0
