text,hs
click free download colorfully illustrated 132 page e-book zionist-engineered intentional destruction western civilization .,1
"may may jew 's certainly stupid , seems think blacks wo n't kill alongside every white get dirty hands , muppet !",1
"'ve always considered teaching one professions would like get , neighbourhood like ... never . kids like disgust .",1
sad thing white students schools act like .,1
gods often pale skin blue eyes suppose literacy n't valued highly cultural intelligencia .,1
greece need man like adolf hitler perfect time start national political movement free country zionist bankers,1
pathetic little chimp .,1
try el paso texas soo much mudd invasion river color playing/crossing .. year round !,1
"video event worth watching see beautiful white lady screaming `` scum , scum , scum , f * * * ing scum ! ! ! '' muslim filth .",1
"suppose concept male cow female cow producing cows , repeating process much understand .",1
may get mad cow disease .,1
"nevermind , found new page knew groid ... . report rape ?",1
act negros aids right reproduce die way take care kid cant believe millions crazy,1
hope starve .,1
white person send single penny lift single finger help .,1
"'s retarded feral negro ( yes , feral humans talk occasionally pop , abandoned children . ) .",1
"walks upright , human arms legs .",1
've seen negroes look ( undoubtedly act ) like .,1
respond armenian scum stop,1
white woman go public fear assault muds .,1
retract - always ... . always animal lacks skills properly raise ( half ) human child .,1
whites today much white guilt laid upon feel act black sexual relations children blacks accepted problem white race memo .,1
problems different classes inside race white since whites joined fight non-whites enemies .,1
black `` women '' london transport ...,1
"kept check , may living actual planet apes soon .",1
soon hear uttering monkey gibberish feel like smashing computer screen fist .,1
picture baby monkey ' save rainforest comercial whatever,1
dream - one days black occupation america history !,1
"pathological killers , .",1
jews poisoning wells since biblical times .,1
wonder bad shape tribe charge white house congress .,1
jew represents snake .,1
need cut 's head rest problems crumble away ease,1
"hate see beautiful white females become victims sick , violent merciless animals .",1
separation answer !,1
prison kikes get food regular prison population gets ...,1
hell cares kosher ...,1
"'ve felt anger 've read forum , part speaking loud voice fact , , example , 'm europe fact pased tv news news paper ... knows enemies first pass vicory !",1
concerned zog controlling us russia .,1
"n't white europeans americans grow set balls , deport black brown animals countries ?",1
sex : male race : black d.o.b : 08-24-1950 height : 5 ' 11 weight : 180 eye : brown hair black custody : 001 misdemeanor count criminal trespass 2nd deg dude looks like olde version cornielious `` planet apes '' !,1
communist party almost jew kill gentile stood way property jew - communist wanted .,1
"couple befriend negroid , negroid tries burn couples home - nnn reporters newsroom forum moblie couple says neighbor tried set apartment fire reported : irika sargent last update : 4/25 9 : 01 pm moblie couple says neighbor tried set apartment fire | local15tv.com , mobile & pensacola news , entertainment , videos , business search shopping happens make friends spearchuckers .",1
shows interesting statistics jew rats ...,1
blacks browns detroying sweden nobody anything ! : madex : madex : madex,1
"thing manipulated minds foreigners , reckon live amongest superiour , pagan blood .",1
"denmark : 2.3 ( 2001 ) , 1.1 ( 2002 ) , 0.9 ( 2003 ) , 0.6 ( 2004 ) . ( assuming population 5.4 million ) good job denmark !",1
get saying thousands non irish never contribute anything land .,1
"unless tourist study year two please go back russian , dont need want slavs",1
load crap.water ye people real ireland taken non irish rubbish .,1
hate word racist makes people called racist think something wrong immigrants coming something wrong,1
watching videos makes feel like im going explode hatred creatures .,1
filth sectarian british song irish folk song sort scum wrote admire filth place wn forum yet alone irish forum,1
disgrace sister waiting list 6 years giving away houses scumbags,1
put kids ophanage arrest whore mother point biracial kids 8 kids suffer lives due whore,1
"know live small island seems lot people various countries world willing desert homelands families come , mind tells lot said people home countries , highlights weaknesses countries let feel need feed somebody elses country , english interpret without sounding rude ? ? ? , locust ? ? ? , parasite ? ? ? , tell .",1
would want see pollution spread gene pool ?,1
thank gods chosen go kind .,1
ye heard one . ' came africa way dose matter ' ... ... .. answer ? ' evolved better ',1
"well , warm weather coming guess , painstakingly endure offspring immigrants , africans , foeigners ( im putting many ) playing front flats small garden area , screeching shouting hyena pitched laughing .",1
"every time see black security guard either sat phone , proffesionalism whatsoever .",1
"yes , homosexual degeneracy foisted upon silent majority .",1
"yeah , could amount black rapists nordic countries privileged enough .",1
hi everyone ... . 'm slovenia utterly hate every living muslim world ... ... . despise even dead ones,1
"ukraine russia/poland/romania , fake ukrainians .",1
"like , certainly n't , ireland , especially ni littered memorials , even statues , red terrorists .",1
stumbled n accident absolute savages yet liberal women saying great multiculturalism le ta la gramme - france - montpellier ( 34 ) .,1
hopefully n't get intimidated enemies land freedom - antifa scum .,1
powers want whites dumbed negro blood .,1
need sent back afreka along joos control politicians .,1
hope coon got life jail death penaltyyou best nobody ask .,1
"duetschgirltx , live tiny ass town one 100 white folks ( maybe less ) . near san antonio . many dirts around stick together . comes white girl town got ta back always ?",1
hiring someone website ensure n't hire undesirables .,1
"btw wrong mildura , went mid 2000 n't non-white sight late last year went saw islanders , indians , asians , whatever crap little johnnie could get dumped country .",1
caused hate nations hate everyone else .,1
jewish race without doubt greatest threat survival white race .,1
white nationalist christian faith still white nationalist racial survival anti racist christians true chirstians ememy,1
asians whites composed calm blacks seem self control .,1
"well , maybe 're slowly working way destroying eastern europe .",1
mexicans plenty open space countries develop n't need .,1
europe evil yellow invasion .,1
"exactly , want us lay die .",1
"words deeds , declare staunchly favor genocide people .",1
"problem blacks ' heads , hey , already known .",1
"gay marriage place society , regardless race culture.it destroys , morals , values , future offspring keep race culture alive.regardless race culture , homosexuality gay marriage genocide mankind .",1
surprise white hating non-whites still want live white countries made great white people brought low non-whites ?,1
're cowards simpletons utterly incapable generating reasoned argument free sententiously repeated stock phrases scare-words like `` racist . '',1
"'s coincidence attack packs side herd every ethical question ; 're inferior know , ill-suited standing alone thinking complex scenario settle upon internally consistent position .",1
"instead decide convenience , low risk , unenlightened self-interest .",1
want libtard oppose abortion ?,1
want libtard support white nationalism ?,1
tell 'll legalize drugs pedophilia .,1
black race yet invent kind civilization .,1
kind civilization negroes today gift white race .,1
"white race best creator made whites , made better made races .",1
"liberals believe blame whitey 's mixed hell hole , breeding arabs ... .",1
white believe white people know difference right wrong matter say political positions.we facing genocide people infighting loved non whites .,1
tim hortons staffed nast filipinos every single town full indians asians .,1
"need deport nonwhites immediately , stop letting sterilize ones , fix problem .",1
"honestly hate indians , muslims , really anything brown , black yellow coloured skin hate .",1
"essentially child-like someone steps says something carry , like children .",1
honestly ever fired 'd expect 'd damage since average negro lacks intellect basic firearms training .,1
'm surprised 're holding gun back front .,1
every cultured society things therein created whites .,1
wonder jewish media always pretends blood thirsty third world savages victims whitey 's fault ?,1
"homosexuals ca n't undo fight white genocide , hypocrites , 'd rather openly homosexual men side closet fags sexual deviants skulk pretending something 're .",1
"dude stink bomb event , gets dark , chuck bunch floor , different spots , chimps start jiving grooving , step .",1
faggots always pushing homosexual agenda .,1
even queers small towns emboldened go peddle homosexual agenda .,1
