,text,hs,translated_text
0,gleich wand stellen erschiessen..,1,Immediately shot walls.
1,gleich wand stellen erschiessen..,1,Immediately shot walls.
2,"grundbotschaft post 's widersprechen wurde , 1 rechtschreib- 1 grammatikfehler kurzen beschreibung starkt leider clichee `` blau-wahler hirn '' politischen gegenuber .",0,"Basic message Post 's contradicted, 1 spelling - 1 grammatical error Short description Unfortunately, Sorry, `` Blue-Wahler Brain's political opposite."
3,`` wand stellen erschiessen '',0,`` Wall Positions shot ''
4,seit `` wand stellen erschiessen '' deutschland etwa 60 jahre her .,0,Since `` walls shot 'Germany about 60 years ago.
5,ja ja kriminelle heimatpartei fpo kinderpornografie beim orts chef burgenlabd waffenhandel betrug verhetzung korperverletzung falscher zeugenaussage mord rfj ... .bezirksleiter schiet 13 jahrige uber haufen bundesrat wegen wiederbetatigung verurteilt,0,yes yes criminal home party FPO child pornography in the place boss Burgenlabd arms trade fraud infection body injury false witness statement murder rfj ... .bezirksleiter staggered 13 years ago convicted
6,"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1,"Sights sensitive..is the best wos happen is, rulers downtime.Grunen.to thank .Hurkinder can owe a whole shit."
7,"seids empfindlich . . is beste wos passieren is , herrschaften niederfeiln . grunen . danken . hurenkinder konnen ganzen schei verdanken .",1,"Sights sensitive..is the best wos happen is, rulers downtime.Grunen.to thank .Hurkinder can owe a whole shit."
8,"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1,"Mei please, should be pierced each other!problem solved !"
9,"mei bitte , sollen gegenseitig abstechen ! problem gelost !",1,"Mei please, should be pierced each other!problem solved !"
10,wahnsinn ... . : - (,0,insanity ... .: - (
11,traumatisierte kindlein . grunen bezahlten anwalte schon richten . ?,0,Traumatized child's linse.Grunen paid lawyers already set up.?
12,fachkrafte arbeit . hirnchirurg atomphysiker ...,0,Professional work.Brain Surgeon Atomic Physicist ...
13,"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1,"Incredible, for foreigner-timely comments always read is incredible, how much Nazi many Germans are inverted."
14,"unglaublich , fur auslanderfeindliche kommentare immer lesen bekommt unglaublich , wieviel nazi vielen deutschen drinsteckt .",1,"Incredible, for foreigner-timely comments always read is incredible, how much Nazi many Germans are inverted."
15,staune osterreich problem rasch ankam . eigentlich sin immer 40jahre danach,0,Amazed Austria's problem quickly.actually sin always 40 years afterwards
16,multi kulti,0,multi cult
17,"eigenen land bleiben , konnen untereinander totschlagen ... ... ... .",0,"Own land remain, can be done with each other ... ... ...."
18,supie ! loschen gegenseitig ! hoffentlich bald !,1,Supie!Loose each other!hopefully soon !
19,supie ! loschen gegenseitig ! hoffentlich bald !,1,Supie!Loose each other!hopefully soon !
20,jagt dreckspack raus .,1,Hunts dirt's track out.
21,jagt dreckspack raus .,1,Hunts dirt's track out.
22,"regierung , polizei schaut bitte lass mal selber dezimieren schont",0,"Government, police look after please decimating himself"
23,freut gutmenschen aufwachen,0,Wake up pleasure
24,beide volksgruppen sofort ausweisen eizige legitime mittel,0,Both ethnic groups immediately show oitten legitimate means
25,"warum hauen osis drauf konnens geschichte , dauernd ungerechtugterweise vorgehalten . lander schlechte machthaber , spricht druber immer frau kriegt mund",0,"Why how OSIS at the history, constantly unauthorized persons.Lander bad ruler, speaks to always wife gets mouth"
26,raus herkommen problem gelost ! ! ! !,0,Out of home problem solving!Being!Being!Being!
27,mussen laut merkel leben . sage raus denen sollen merkel direkt nehmen,0,Must like Merkel live.Sage to those should take Merkel directly
28,dreckspack entsorgen .,1,Dispose of the dirt.
29,dreckspack entsorgen .,1,Dispose of the dirt.
30,r a u s p a c k,1,r a u s p a c k
31,r a u s p a c k,1,r a u s p a c k
