text,hs
- disaat cowok berusaha melacak perhatian gue . loe lantas remehkan perhatian yg gue kasih khusus elo . basic elo cowok bego ! ! ! ',1
rt user : user telat ngasih tau elu ? edan sarap gue bergaul cigax jifla calis noh licew ',0
"41 . kadang berfikir , percaya tuhan jatuh . kadang tuhan ninggalkan . orangtuaku berencana berpisah , kakakku memilih kristen . anak ter",0
user user aku\n\nku tau matamu sipit diliat ',0
user user kaum cebong kapir udah keliatan dongoknya dongok hahahah ',1
user ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84 ',1
deklarasi pilkada 2018 aman anti hoax warga dukuh sari jabon,0
gue aja kelar re-watch aldnoah zero ! ! ! kampret emang endingnya ! 2 karakter utama cowonya kena friendzone bray ! xd url,0
"admin belanja port terbaik nak makan ais kepal milo , ais kepal horlicks cendol toping kaw kaw .  ? ?  ; ; doket mano tu ? gerai rojak mertuaku - taipan 2 ( twins baby & amp ; romantika / bank islam senawang )  ? ? ?",0
user enak lg klo smbil ngewe ',0
"gw jari lu , sebelom gw ukur nyali bacot lu \xf0\x9f\x98\x8f '",1
user user user user banci kaleng malu ga 2 ... . nyungsep koe user url,1
kalo belajar ekonomi mestinya jago memprivatisasi hati orang . duh.. ironi user,0
aktor huruhara 98 prabowo s lengserkan pemerintahan jokowi ... . nyata,1
user bu guru enakan jablay guru esde sih.\nkayaknya menikmati pecun guru . ',1
"user user user user user user lawan bicara gw gak intelek kyk loe , yg otak gak . ttg kencing onta , gw mengakui hadis nabi sahih . kafir kyk loe menolak , loe ahlunnar . '",1
fikiran ampas banget ya ',0
ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86 ',0
cowo gantle kalo ga gantle namanya banci ! ',1
user slga mnr bom \xf0\x9f\x98\x82 ',0
"asw ya gua jarang ngambek , tacut wkkwkwkwkw gua bucin . '",0
user kalo noob peluang disakitin nya gede si ',0
"user joko widodo dinilai presiden terlemah sejarah indonesia . jokowi memiliki modal dukungan politik , ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0
pelajar sma kec bilah hilir deklarasi anti hoax & amp ; pilkada 2018 damai,0
bandara udara internasional kertajati dibangun gubernur ahmad heryawan apbn pemerintah pusat . insya allah beroperasi ;,0
"gubernur presidennya , rakyatnya , ya kitaa2 ...",0
si user kerjaannya delay mulu ! setan ! ',1
menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget,0
rt user user user pki muncul jelang pemilihan kepala daerah pemilihan presiden krn digoreng gosong .,1
user user mah sdh nenek-nenek sy heran cebong biasay bohong ',1
"user user user user user user user user user islam nusantara produk jil , dipasarkan dg gencar antek\xc2\xb2 jil.\n\nsementara jil anti arab , pro aseng ! \n\nkata ( alm ) kh . hasyim muzadi ,",1
habis sahur sampe jam 10 . sibayik udah nete 4x . skg lemas \xf0\x9f\xa4\xa2 ',0
user gak kak emak mah gak demen ama sipit wkwk ',0
"rt user : kelakuan homok jaman now , ngentot aja live blued # gayvid # gvid # lokalhangat url",0
"user ga kak , gua orang jawa maaf yak : ( ; ; gua orang palembang , kakak aja deh yg belajar aksara jawa . kalak belajar budaya palembang ?",0
pegawai guardian training kek mentang2 gue kek gembel cuman kaos flat shoes nanya dijutekin bangsad emang males belinya kabur gua matahari ',1
\xe2\x80\x9dpara bajingan melukai lady menerima ganjaran seratus kali lipat ! ! \xe2\x80\x9d ( sanji ) # # hbd17thpelautjkt48 ',0
ajakan menolak berita hoax sukseskan pilkada wilayah kota keidri :,0
user user presiden ri jokowi luarbiasa kerja nya tulus ihlas # rakyatb3rsamajkw,0
edan emang goollnya fabiano ! ! ',0
gapernah mendalami al-quran ya bang ? ? ? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw ',1
"beda kewibawaannya , ; yg berwibawa gubernur indonesia user ; massya allah ...",0
anjir kali lihat orang bego debat pilkada . kerjanya nyerang karakter . shame on you mpok silvy and agus . # debatfinalpilkadajkt,1
"# gubernurzamannow # gusipulputi2 # ganjaryasin1 # djarotsihar2 # hasananton2 # kosterace1 # nurdinsudirman3 # karolingidot2 rt user : `` keanekaragaman budaya , suku , agama , sesungguhnya kekayaan , a ? ? djarot hadapan peserta rakercabsua ? ",0
"user user iya islam ga dilokalisasi ? lha kristen aja mas nusantaranya mas , liat aja gereja bandung yg pake gamelan yg khotbah pake bhs sunda/jawa , hkbp nusantara ? '",0
"ciptakan situasi kamtibmas menjelang pilkada 2018 , kapolsek konang silaturahmi tokoh masyarakat",0
user user positif kok.\nse-positif respon masyarakat terhadap\n- cangkul impor\n- garam impor\n- beras impor\n- jagung impor\n- tenaga kerja impor\n- esemka impor\n\nurl,0
"user user user user sembahyang mengadopsi tradisi lokal kerjaan hindu.\n\nistilah\xc2\xa0sembahyang\xc2\xa0pun lahir tradisi ritus\xc2\xa0menyembahhyang ( tunggal ) , dengan\xc2\xa0shalat menyembah all",0
kau pendikan bodoh ... .gk larang bawa agama..biar orang islam yg bayar ahok sadar gk milih ahok gla,1
"user user btp the best , , , abaikan kaum kampret otak micin , , , '",1
"user user , si otak tempurung mah ga d ladenin . smkn d lawan bloon dungu . kalo ga gitu ga makan . hehe '",1
"user awaasss ... jgn sampe beritanya sampe akhi gerung ! ntar susah nyari kosakatany . klu bcr aja micingin mata , bibir monyong kesamping , suara ky lg nhn kentut.. `` politik kotor skl jmn ! '' . klu brt ini.. plng ky nhn ngeden.. '' dungu ! '' . \xf0\x9f\x98\x8b",1
pinokio umur 3 taonan tuh . # 2019gantipresiden,1
"user cerita silat lae \xf0\x9f\x98\x80 kho ping hoo indonesia , liang ie shen penulis china '",0
rt user benci dgn umat islam,1
"user user user `` provokasi mayat , politisasi agama '' penyebab kekalahan pilkada dki , cebong mendeskripsikan kekalahan junjungannya . ; fyi ahog blm pemilihan apapun ( kec jd wakil ) etnis mayorita",1
user gua nete ',0
user lol bani lowo ',1
"takabur lahir . penguasa , rakyat , ulama cendikia . iblis mahluq yg alim & amp ; beribadah beratus2 th dilaknat krn hasud takabburnya . ahli ilmu filsafat yg tdk failosof ; ; mari demo sendi",0
"a orang suka konser-konser , boros .",0
[ makan racun ? ] ; _ ; ulama hukum rokok mubah jugaa ? ,0
susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat . no 1 ! baguss # khofifahemilnomer1,0
"user udah kali . gue kpoper kalo ngomonv temen2 gue , idol gua banci homo '",1
suka video user url kisah perseteruan haji bolot & amp ; malih tongtong ',0
"budaya kafir bersungguh , klau hal2 islam diendahkan ...",0
"user user user user \xf0\x9f\x8e\xb6 la la la ... hm hmm \xf0\x9f\x8e\xa7 `` diam , bisu '' \n '' coba rumput yg bergoyang '' \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa '",0
"setan membisikkan was-was kepadamu , mintalah perlindungan allah . ( qs . al-a\xe2\x80\x99raf : 200 fushilat : 36 ) . '",0
user user user user user user user klw ente atheis..ngapain sibuk dgn agama orang ...,0
lengserkan jokowi bangsat ! !,1
user selamat kartini ; ; # 2019gantipresiden ; # 2019presidenbaru,0
"rt user : bajingan homo ! ! ! \nhati2 anak2 kamar mandi laki2 , jgn biarkan ! url",1
user iya cocot ',1
user budaya indonesia .,0
user ngajarin solat'a ajah orang aseng memecah belah islam '',0
user x || lo ngomong aja kaga bener bangke ',1
user user mempercayai yg negara disuatu dijajah kerana kes2pembubaran sistem2 beraja dinegara menjadikan negara republik komunis negara2 penjaja,0
menikmati kebijakan diusulkan pki.. lha yo opo ...,1
kalo seumpama orang cina usir paksa indonesia gimana,1
user bunda ngentot yuk ',0
rt user : china babi ... china maling ... \n # usirchina https : \/\/t.co\/9y4hiwhjp2,1
"karno anti asing beliau jawa , coba deh adain konsensus jawa anti asing pro asing kebo*ohannya . \n\nkalau keliru tutup akun '",0
proyek korupsi rezim sby url,1
"user wajar , lihat tingkah bbrp petinggi negeri yg suka mencampur bhs indonesia dgn bhs asing kali bicara '",0
ab : pribadi yg senang berkompetisi positif,0
user user lo kitab suci agama yg bilang om user ; ; # mendadakkalap,1
user suka nutup mata . kaga ditutup udah tertutup gara2 sipit / ? ',0
"user sy sbg muslim tdk user menistakan kitab suci alqur'an , krn dlm alqur'an sndri bbrp suku yg smpai dtik blm mkna faktualnya olh umat islam , tp yakini tsb makna yg tersirat ( fiksi ) yg blm",0
user eh kasar kau kampang ',1
bentar gua rilis album the onta 's wkwkwkwkwk '',0
user cebong bang ',1
najis banget gw ngetwit barusan wey ',0
transgender gmn anjing : ( url,1
user awas bintitan lu ngintipin titit kucing ',0
"user user bawel , baper , bolot , , bodor , gaje wkwk ya udah aja deh '",0
"user user user user gue saranin gk bnyk bacot maling ayat , langsung to the point aja lu orang ... yg tdk sepaham lu teriakin aja kafir sesat , liberal , pemuja dukun , bla blaaa.. hatimu puas dehh .. '",1
jgn salah target bkn ahok ... agenda utama lengserkan jokowi ..,1
user user kena hestek aja udah kepanasan ? ? ? kepo banget ; ; # 2019gantipresiden,1
"maju lu duit kau goyang kaki pape , la duit nak maju kat kau bodo url",0
"user hkbp berdiri pecahnya kristen khatolik zaman penjajahan belanda , dl tdk yg namanya kristen protestan yg cm kristen khatolik.\nterjadilah perpecahan berdirilah hkbp yg prtama kali tarutung.\n\nnah skrg sy k",0
"ha .. ha .. baca biar pintar ... jepang , amerika , china ... utang ... tau .. ?",0
prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,1
user user takut adzan iblis ',0
user user yg goblog bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin yg dibayar pakai nasi bungkus . propaganda nasi bungkus gagal . ',1
user user user user wuih ... cebong sewot ... \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 ',1
2 . gerakan menekankan kerja keras total tingkatkan potensi bangsa,0
gubernur djarot . mayoritas partai politik dprd pendukung ahok djarot . payah ya user url,1
"user rezim rusak memperbaiki systeamnya sibuk cari2 kesalahan klu ketemu aja , kpk alatnya , besok pemerintah berganti berulang engah selesai organisasi , orangnya '",0
"orang orang menuding antek aseng , aseng sesungguhnya bertepuk tangan . '",0
user loh anti aseng ',0
"selamat user semoga berkiprah , tingkat nasional .",0
# asyikm3nang sih ulama,0
user ketahui diketapang tka asing yg berkerja perusahaan . pt who tambang bouksid yg viral pilpres . \ndan kerja tsb era gubernur cornelis wakilnya ora,0
user anak pecun ... ga jauh2 dr hobi zina.. haha ',1
user que bom sbbsnsn ',0
