text,hs
`` @ blackman38tide : @ whalelookyhere @ howdydowdy11 queer '' gaywad,1
`` @ cb_baby24 : @ white_thunduh alsarabsss '' hes beaner smh tell hes mexican,1
"`` @ devilgrimz : @ vigxrarts 're fucking gay , blacklisted hoe '' holding # tehgodclan anyway http : //t.co/xuccwoetmn",1
`` @ markroundtreejr : lmfaoooo hate black people https : //t.co/rnvd2nlcdr '' 's black people niggers,1
`` @ nochillpaz : `` least 'm nigger '' http : //t.co/rgja7cfoit '' lmfao,1
`` @ notoriousbm95 : @ _whiteponyjr_ ariza snake coward '' least n't cripple like hero roach lmaoo,1
"`` @ rtnba : drakes new shoes released nike/jordan ... . yes , 's glitter shoes http : //t.co/qctplxhexm '' ... .dudes fag",1
`` @ theomaxximus : # gerryshalloweenparty http : //t.co/3ycrsrnjhc '' halloween yesterday stupid nigger,1
"`` @ ashlingwilde : @ itsnotadam bored supposed cute , faggot ? '' sometimes",1
"`` @ bigbootybishopp : @ white_thunduh lassen cc , coach wants '' feel youll get nig doubt",1
`` @ jayswaggkillah : jackies retard # blondeproblems '' least make grilled cheese !,1
`` @ jgabsss : stacey dash & # 128166 ; http : //t.co/pdlg46rjol '' baddest bitch evaaaa,1
"`` n't worry nigga see , worry nigga n't see ... dat 's da nigga fuckin yo bitch . ''",1
`` hey go look video man found kidnapped girls ohio ... ... ..what nigger '' - # shitmybosssays,1
`` let 's kill cracker babies ! '' . wtf hear ? ? ? ? ? ? ? ? wow .,1
`` grandma used call porch monkey time ... come think refer broken bottle nigger knife '' & # 128563 ;,1
`` nah @ nomeek_justmilz : & # 128514 ; & # 128514 ; & # 128514 ; & # 128514 ; yo thought some1 photoshopped face faggot smmfh ... hate yall '' http : //t.co/5e2fkq3q2t,1
`` people '' . time aryan race 2 stand say `` '' . mongerls turn world ghetto slum . 1488,1
"`` sour apple bitter bitches , 'm fuckin wit em ''",1
"`` hate niggers , hate faggots hate spics '' -kkk rally",1
"`` 're , 're queer ! '' `` 2 , 4 , 6 , hut ! like butt ! ''",1
"`` fuck callin jiggaboo , nigga ? ! ''",1
`` people think gay marriage okay beyond . sorry n't want future son seeing 2 fags walking street holding hands,1
`` ai n't gunna shit spear chucker '',1
`` ol trout mouth ass bitch '' deeeeaaaadd,1
`` ayo even kill handicapped crippled bitches/look scalp real close 'll see triple sixes '',1
"`` fuck pussy ass hater go suck dick die quick '' - someone , , youtube comments . think 'd good friends .",1
`` way fuck bitch name lord '' - mr. race,1
`` poor whitey '' http : //t.co/3ukkeyznz8,1
"# azmonsoon lot rain , bad n't enough wash away teabagger racist white trash state . # tcot # teaparty # azflooding",1
# california full white trash,1
# california full white trash moved # oklahoma,1
# dtla trash non-europeans allowed live .,1
# dutch farmers white trash .,1
# dutch people live outside # newyorkcity white trash .,1
# iowa full white trash,1
# jesuschrist straight & gt ; 's # faggots killed . # period # sonofgod & gt ;,1
