,text,hs,translated_text
0,rt @ spardaxyz : fadli zon mendagri menonaktifkan ahok gubernur dki https : \/\/t.co\/kh5virwpdo,0,RT @ spardaxax: Fadli Zon Minister of Home Affairs Disables Ahok Governor of DKI https: \ / \ / t.co \ / kh5virwpdo
1,rt @ baguscondromowo : melukai aksi rangka memenjarakan ahok ahok gagal pilkada .,0,RT @ nicecondromowo: hurt the traces of imprisoning Ahok Ahok failed to elections.
2,sylvi : gurbernur kekerasan perempuan ? buktinya ibu2 foto bareng # debatfinalpilkadajkt,0,Sylvi: Governor of Women's Violence?The proof of the photo together with # debatefinalpilkadajkt
3,"ahmad dhani puas debat pilkada , jalan bekasi terungkap https : \/\/t.co\/m3hoppluid\u2026",0,"Ahmad Dhani Satisfied Pilkada Debate, Jalan Bekasi Revealed https: \ / \ / t.co \ / m3hoppluid \ u2026"
4,rt @ lisdaulay28 : waspada ktp palsu ... ..kawal pilkada https : \/\/t.co\/oooerqv4sm,0,RT @ lisdaulay28: Alert fake ID card ...
5,"@ felixsiauw bnyak agamis yg dibahas , pilkada , tingkat keimanan sebatas pilkada ? ? ? ?",0,"@ Felixsiauw Mr. Agamist who is discussed, the election, the level of faith in the extent of the election?Later?Later?Later?"
6,@ saidaqil maksud pernyataan . ? mengaminkan kriminalisasi ahok ? ? hati2 jg dg mulutmu ! https : \/\/t.co\/h4odvay0md,0,@ Saidaqil the purpose of the statement.Later?Should ahok criminalization?Later?Be careful with your mouth!https: \ / \ / t.co \ / h4odvay0md
7,ahok integrasikan transportasi publik sistem single ticketing\u2026 https : \/\/t.co\/42ph7pqv0b # infotribun,0,Ahok Integrate Public Transportation Single Ticketing System \ U2026 https: \ / \ / t.co \ / 42ph7pqv0b # infotibribun
8,"ahok melawan korupsi ibukota , bangun infrastruktur , mencoba memperbaiki trobosan works well .",0,"Ahok against the Capital Corruption, Building Infrastructure, Trying to Fix Well Trobosan Works."
9,"awasi kecurangan pilkada , agus - sylvi pakai aplikasi https : \/\/t.co\/xwzw4nufiu",0,"Awaseful Cheating Election, Agus - Sylvi Use the https: \ / \ / t.co \ / xwzw4nufiu application"
10,"gak jokowi ahok ? kalem , melengkapi . : ' )",0,"Don't Jokowi Ahok?calm, complete.: ')"
11,"bos makan istana ga , undang noh makan istana gebang tapinya https : \/\/t.co\/ns6cuycpuj",0,"Boss Eat the Palace Ga, Invite Noh Eat the Gebang Palace Tapnya https: \ / \ / t.co \ / ns6cuycpuj"
12,cuti habis ahok gubernur dki ? pengamat : mengada-ada | republika online https : \/\/t.co\/t3kzvq9e4e,0,Leave out ahok governor of DKI?Observer: Make it on |Republika Online https: \ / \ / t.co \ / t3kzvq9e4e
13,debat pilkada dki jakarta digelar jumat malam . https : \/\/t.co\/e9ixz6jllr,0,DKI Jakarta regional election debate was held on Friday night.https: \ / \ / t.co \ / e9ixz6jllr
14,demonstran fpd malteng desak bawaslu hentikan tahapan pilkada maluku,0,Demonstrators FPD Malteng Urges Bawaslu to Stop the Stages of the Maluku Election
15,"didesak berhentikan ahok ngeles cuti pilkada , kampanye habis kemendagri ragu-ragu https : \/\/t.co\/92ss4trdcx",0,"Urged to Stop Ahok Ngeles Election Leave, Campaign Out of the Ministry of Home Affairs Hesitantly Hesitantly https: \ / \ / t.co \ / 92ss4trdCX"
16,"gila gara2 pilkada , tokoh menampakkan watak aslinya .",0,"Crazy because of the elections, the figure revealed the original character."
17,gontor izinkan santrinya pulang kampung nyoblos pilkada dki | republika online https : \/\/t.co\/jhnot8ecnz,0,Gontor Allow the Santri to Return Kampung Nyoblos Election DKI |Republika Online https: \ / \ / t.co \ / jhnot8ecnz
18,"gubernur non-aktif dki jakarta , basuki tjahaja purnama ahok , berencana merombak struktur jabatan pegawai ... https : \/\/t.co\/cdkezxf9xo",0,"DKI Jakarta Non-Active Governor, Basuki Tjahaja Purnama Ahok, plans to overhaul the employee's position ... https: \ / \ / t.co \ / cdkezxf9xo"
19,hebat .. ! ! ! imam masjid istiqlal : kalimat ahok 100 % penistaan agama .. ! ! sebarkan,0,Great ...!Thank you!Thank you!Imam Mosque istiqlal: Ahok's sentence 100% Blasphemy of Religion ...!Thank you!Spread
20,"ibu2 aja , kalo beli telor pake milih2 sblm ditimbang . pdh telor mirip2 . ibu2 , telor yg busuk",0,"Just aja, if you buy egg using it before being weighed.Pdh telor is similar.mother, rotten egg"
21,ahok terkait persiapan debat pilgub besok https : \/\/t.co\/s6rlsar7y9,0,Ahok is related to the preparation of tomorrow's pilgub debate https: \ / \ / t.co \ / s6rlsar7y9
22,pesan ahok pers nasional # kitapastipernah https : \/\/t.co\/h0l6mrjm3r,0,Message ahok National Press # KitapastiPinner Https: \ / \ / t.co \ / h0l6mrjm3r
23,istighotsah ahok catut logo nu https : \/\/t.co\/u2rpy3c25r,0,Istighotsah ahok logo nu logo https: \ / \ / t.co \ / u2rpy3c25r
24,ngomong pilih ahok djarot ngerasain banjir ga sih ? : (,0,"By the way, just like Ahok Djarot, it doesn't work?: ("
25,iya aja deh dripada hoax ...,0,IYA AJA DEH TO HOOX ...
26,pelacur.belia yg dijual orang tuanya.sendiri pantura.demi sesuap nasi https : \/\/t.co\/x5ddr7m693,0,prostitute
27,yg nyebar hoax ketahuan akun twitter nya lho,0,which widened the hoax found the twitter account
28,mpok @ sylviana_murni-nya tolong mas @ agusyudhoyono,0,"mpok @ sylviana_murni, please mas @ agusyudhoyono"
29,bidara beli mangga . pulang nye liwat slipi . lupa ingetin tetangga . milih agus sylvi . # 7harilagimilihahy # agusbersamaulama,0,Berbara buy mangoes.go home nye liwat slipi.forget the neighbors remember.Choose Agus Sylvi.# 7harilagimimolahy # AgusBersamaAllama
30,serius selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 # pilkadadki2017 # debatfinalpilkadajkt,0,Seriously the entertainment \ ud83d \ ude06 \ ud83d \ ude06 \ \ \ \ ud83d ude06 # Pilkadadki2017 # debatefinalpilkadajkt
31,sylvie sukses blunder bikin paslon 1 drop elektabilitasnya fitnah spin salah pilih kader # debatfinalpilkadajkt,0,Sylvie Success Blunder Makes Paslon 1 Drop Elektabilitas Snah Spin Select Select Cadre # DebatfinalPilkadaJKT
32,ahok : mari berlomba program # debatfinalpilkadajkt,0,Ahok: Let's race the # DebebafinalPilkadajkt program
33,# debatfinalpilkadajkt aduh ... kecewa paslon 1 ... .,0,# DebatfinalPilkadajkt Ouch ... Disappointed Paslon 1 ...
34,rt @ agusdansylvi : # debatfinalpilkadajkt pilih nomor 1 . sektor informal dimajukan mas agus mpok sylvi .,0,RT @ agusdansylvi: # DebatfinalPilkadajkt Select Number 1.The informal sector was advanced by Mas Agus Mpok Sylvi.
35,rt @ jtmor : ahok pilihan terbaik jakarta,0,RT @ jtmor: ahok the best choice in Jakarta
36,rt @ augustfrankto : # debatfinalpilkadajkt bu silvy curhat dimarahi ahok ... hehe..,0,RT @ augustfrankto: # DebatfinalPilkadajkt Mrs. Silvy Confide in Premewed by Ahok ... hehe ..
37,mantap ahok # debatfinalpilkadajkt,0,Steady Ahok # DebatfinalPilkadajkt
38,ahok gagah kaya gatot kaca ! # debatfinalpilkadajkt,0,Ahok is a glass of gatot glass!# Debatfinalpilkadajkt
39,telaaaakkk nomer satuuuu . nghahahaha # debatfinalpilkadajkt,0,Telaaakkk nomer satuuuu.Nghahahaha # Debatfinalpilkadajkt.
40,lomba adu program # debatfinalpilkadajkt # skaksilvi,0,Lomba Adu Program # DebatfinalpilkadaiT # Skustilvi
41,# debatfinalpilkadajkt denger program janji tau pas ga dijalankan males aja sih .,0,# Debatfinalpilkadajkt Listen to the program promises to know when it's not running lazy.
42,debat cagub dki 3 - 10 februari 2017 - segmen 3 mantap ahok skak sylviana murni\n\n # debatfinalpilkadajkt,0,"DKI Cagub Debate 3 - February 10, 2017 - Segment 3 Steady Ahok Skak Sylviana Pure \ n # DebatfinalPilkadajkt"
43,silvy rada maksa.. # debatfinalpilkadajkt,0,Silvy Rada Maksa .. # Debate FinalPilkadai
44,"tanggal 15 , pas pilkada sy gak milih siapa-siapa ah !",0,"15th, when I don't choose anyone ah!"
45,"pribadi prefer muslim kapabilitas , lihat kondisinya ahok pilihan plg realistis kemajuan dki",0,"Personal Prefer Muslim capabilities, see the condition of Ahok's most realistic choice of progress of DKI"
46,"mendukung mas anies anti ahok ,",0,"Support Mas Anies Anti Ahok,"
47,spanduk tolak salatkan pembela penista agama muncul kalibata https : \/\/t.co\/sr1pbytign,0,Banner Refuse Lazy Religion Defenders Appear Kalibata https: \ / \ / t.co \ / sr1pbytign
48,# debatfinalpilkadajkt telak banget anjir ngakak !,0,"# DebatfinalPilkadajkt is really bad, I don't work!"
49,ayo berlomba program fitnah2 # debatfinalpilkadajkt,0,Ayo Berlomba Program Fitnah2 # Debatfinalpilkadital
50,rt @ deelestari : nggak ngantuk ! yeay ! # debatfinalpilkadajkt,0,RT @ DEELESTARI: Nggak nggak!yeay!# debebutinalpilkadajkt
51,duh dibilang ga program paslon 1 ... kesian kesian kesian ... # debatfinalpilkadajkt,0,DUH MISCED GA PASLON PROGRAM 1 ... Welcome to the taste ... # DebatFinalPilkadajkt
52,"tuntut keadilan penista agama , puluhan jawara betawi ikuti aksi 212 jilid ii https : \/\/t.co\/hwvuozyyov",0,"Demand the Justice of the Religion Penist, Dozens of Betawi Champions Follow Action 212 Volume II https: \ / \ / t.co \ / hwvuozyyov"
53,keras nih ahok # debatfinalpilkadajkt,0,Hard Nih Ahok # DebatfinalPilkadajkt
54,paslon 3 anies sandiaga uno 15 feb 2017 utk jakarta indonesia raya ok oce,0,PASLON 3 ANIES SANDIAPA UNO 15 Feb 2017 for Jakarta Indonesia Raya OK Oce
55,sesuai namanya : ronde final\n\n # debatfinalpilkadajkt,0,Sesuai Namanya: Ronde Final \ n # Debate FinalPilkadai
56,"mendagri pusing , ma emoh keluarkan fatwa status gubernur penista agama https : \/\/t.co\/j34amqimni",0,"Minister of Home Affairs Dizziness, MA Emoh Issues Fatwa Status of Religious Penist Governor https: \ / \ / t.co \ / j34amqni"
57,tolong adu program,0,Please program
58,genderang perang kencang # debatfinalpilkadajkt,0,Fast war drums # debatefinalpilkadajkt
59,mpok sylvi udah emosi \ud83d\ude02\n # debatfinalpilkadajkt,0,Mpok Sylvi already emotions \ ud83d \ ude02 \ n # DebatFinalPilkadajkt
60,some people gabisa bedain kasar . # debatfinalpilkadajkt,0,Some people gabisa is rough.# Debatfinalpilkadajkt
61,beliau pemimpin hebat indonesia ! bangga https : \/\/t.co\/nawbps9xpt https : \/\/t.co\/5cc2u9aiev,0,He's a great leader of Indonesia!proud https: \ / \ / t.co \ / nawbps9xpt https: \ / \ / t.co \ / 5cc2u9aiiev
62,@ informasidki bu silvy jg pengen foto ahok hihihi # debatfinalpilkadajkt,0,@ InformationDKI Mrs. Silvy also wanted a photo of Ahok Hihihi # debatefinalpilkadajkt
63,# debatfinalpilkadajkt serang deh,0,# Debate FinalPilkadish Serang Deh
64,rt @ inakinoy : baca biar mendinginkan suasana # debatfinalpilkadajkt https : \/\/t.co\/em9gckc4qe,0,RT @ Inakinoy: Read so cool the atmosphere # debatefinalpilkadajkt https: \ / \ / t.co \ / em9gckc4qe
65,ayo berlomba program jgn pitnah doank.. # debatfinalpilkadajkt # badjapastimenang,0,Let's talk to JGN Pitnan DouanK .. # DebatFinalPilkadajkt # Badjapastimenang
66,rt @ qronoz : pokoknya kalo ahok udah ngomong : aduuuuuuh kelar . # debatfinalpilkadajkt,0,"RT @ qronoz: Anyway, if Ahok already talking: Aduuuuuuh finished.# Debatfinalpilkadajkt"
67,senjata makan tuan # debatfinalpilkadajkt # debatfinaldki,0,Senjata Makan Tuan # Debatfinalpilkadajt # DebatfinDalki
68,ahok kekerasan verbal ? koruptor dielus2 # debatfinalpilkadajkt,0,Ahok verbal violence?Corruptor Dielus2 # DebatfinalPilkadajkt
69,rt @ qronoz : gak program diserang diserang karakternya . ahay ! \ud83d\ude02 # debatfinalpilkadajkt,0,RT @ Qronoz: No program is attacked by his character.Ahay!\ ud83d \ ude02 # DebatFinalPilkadaJKT
70,terkait jakarta ramah anak tanggapan @ aniesbaswedan https : \/\/t.co\/ufa55uwbci,0,Related Jakarta Children Friendly response @ aniesbaswedan https: \ / \ / t.co \ / UFA55UWBCI
71,emang ok oce anies sandi mengatasi urbanisasi lapangan kerja # debatfinalpilkadajkt https : \/\/t.co\/brceczskux,0,ok ok océ anies password overcome urbanization of employment # debatefinalpilkadajkt https: \ / \ / t.co \ / brceczskux
72,suporternya kampungan paslon ngomong jg ... ... # debatfinalpilkadajkt,0,The supporter of the paslon pascasan is talking about ... ... # DebatfinalPilkadajkt
73,seru ni # debatfinalpilkadajkt,0,Seru Ni # Debate FinalPilkadai
74,# debatfinalpilkadajkt nangis nangis ketonjok,0,# DebatfinalPilkadajkt crying crying ketonjok
75,rt @ kafyonaa : debat malam pilihanmu jatuh paslon ? # debatfinalpilkadajkt # debat3pilkadadki,0,RT @ kafyonaa: Your Choice Night Debate Falls Paslon?# DebatfinalPilkadajkt # debate3pilkadadi
76,rt @ magendajuang : wkwkwk udah dah pilih anies sandi aja : ) # debatfinalpilkadajkt https : \/\/t.co\/hmxhjyhbnj,0,RT @ Magendajuang: wkwkwk already select anies password just :) # debatfinalpilkadajkt https: \ / \ / t.co \ / hmxhjyhbnj
77,fitnah kejam loh pembunuhan # debatfinalpilkadajkt,0,cruel slander loh murder # debebinalpilkadajkt
78,mari # debatsehat . coba pakai # datasesat . # debatfinalpilkadajkt # debatfinaldikompastv,0,Mari # DebateSehat.Try using # DataSat.# DebatfinalPilkadajkt # DebatfinalDikompastV
79,"rt @ prastow : apapun , keberanian ahok membongkar mafia anggaran tonggak apbd yg kredibel akuntabel .",0,"RT @ Prastow: Whatever, Ahok's courage dismantles the budget mafia of the accountable Credible APBD."
80,rt @ sydsalesman : wujud nasional-is-me dagangannya @ pandji ... hebat ! https : \/\/t.co\/0fyig6c2xl,0,RT @ sydsalesman: the national-is-me merchandise @ pandji ... great!https: \ / \ / t.co \ / 0fyig6c2xl
81,dosen keliatan aslinya : (,0,Lecturer looks original: (
82,rt @ gabriellaandini : kampanye uda deklarasi anti sara ? ? ? gw pikir no.3 mending no.1,0,RT @ gabriellaandini: Campaign uda anti-sara declaration?Later?Later?I think No.3 Mending No.1
83,# debatfinalpilkadajkt mateng mpok silvy bombardir ahok ... cerdas ahok..,0,# DebatfinalPilkadajkt mateng mpok silvy bombards ahok ... intelligent ahok ..
84,# debatfinalpilkadajkt mohon tenang,0,# DebatfinalPilkadajkt Please calm down
85,yg no.1 nih ngomongin yg program mulu ya . ngga bhan ya bwt serang lawan.. cape dehh ! # debatfinaldki # debatfinalpilkadajkt,0,the number 1 is talking about the program.It's not really attacking the opponent .. Cape Dehh!# DebatfinalDki # DebatfinalPilkadajkt
86,cinta ahok pokoknya # debatfinalpilkadajkt,0,Love Ahok Anyway # DebatfinalPilkadajkt
87,# debatfinalpilkadajkt nggak ibu2 pengen foto ahok bapak2 lho,0,"# Debatfinalpilkadajkt Don't I want to want a photo of Ahok, you know"
88,mas agus akui malam ... .rambut bagus ! # debatfinalpilkadajkt,0,Mas Agus Admits Night ... Greated Good!# Debatfinalpilkadajkt
89,rt @ republikaonline : ahok janji berani tutup hiburan malam jual narkoba,0,RT @ RepublikaOnline: Ahok Promise Dare to Close Night Entertainment Selling Narcotics
90,agus-sylvi sisipkan bahasa jawa debat https : \/\/t.co\/fgtfxgainx,0,Agus-Sylvi Insert Javanese Debate Language https: \ / \ / t.co \ / fgtfxgainx
91,"rt @ hariadhi : ahok udah perhatikan penyandang disabilitas , jauuuh kandidat berjanji # nobarahokdjarot # badjapastijuara",0,"RT @ HariaDhi: Ahok has noticed persons with disabilities, far candidates promise # nobarahokdjarot # badjapastijauara"
92,ahok keren ! ! ! # debatfinalpilkadajkt,0,Ahok Keren!!!# Debate FinalPilkadajt.
93,gimana ya tim ahok disudutkan ( ? ) final kali y,0,what do you do the Ahok team cornered (?) Final times Y
94,nih fakta yg asbun . # badjapastimenang # debatfinalpilkadajkt,0,Here the facts are asbun.# BADJAPASTIMEMAN # DEBATFALULPILLKADAJKT
95,siap-siap meme cctv . # debatfinalpilkadajkt # debat3pilkadadki # debatfinaldki,0,Siap-Siap Meme CCTV.# Debate FinalPilkadaiT # Debat3pilkadadki # DebatfinDalki
96,nyinyir tingkat nasional # debatfinalpilkadajkt,0,nyinyir national level # debatefinalpilkadajkt
97,drama bgt : ( ( # debatfinalpilkadajkt,0,Drama BGT: ((# Debatfinalpilkadail
98,judulnya debat nyerang paslon 2 ? ? ? ? ? ? # debatfinalpilkadajkt,0,The title of the debate attacked Paslon 2?Later?Later?Later?Later?Later?# Debate Final Jakarta Election
