text,hs
mahmud ghaznavi aor abdali ko bhol gaya ha tu 1 hazar sal tjhy ghulam bana kr rkha tha bhol gaya tu,1
bhai 60sal pehle desh me kya tha pehle pta kro desh vaise ka vaise kaise hai,1
chutiya friday ko isliye releae krte kyoki vik end ke 3 din milte h to log fri hokr film dekh sake|| ! ! hd h yrr chutiyapa ki,1
jaya modiraja,1
upa valo ne bahot kuch kr diya tha desh k liye,1
phan ko aadhar se link ki sharurat kuy hai ? shupreme chourt ne ye bola hi nahi,1
"kakara pathara jo.da ke masjida lai banaya| ta chai mulla bamgha de , kya bahara hua khudaya| yaha maim nahim kabira ne kaha tha|",1
us rat tere papa k jageh mera sperm gya tha use of technology aur tere papa ko pta v na chala chutiya,1
gatara ke ki.de,1
thaise bandhu jet lag se bachhne ke liye naat ko 10 baje ke baad so jao,0
"get your love back +91- ( 9815215009 ) and # all_problems_solution_with_in_72_hours one call change life samasya chahe kaisi bhi ho ja.da se khatma| ba.di se ba.di samasya ka samadhana|101 % apane mana chahe pyara ko pana , kama karobara , kiya karaya , sotana se chutakara , pati - patni mem anabana , +91- ( 9815215009 )",0
vidisha se bijepi ki sushama svaraja age,0
bhhaii tume lagta bjp ne kia h ye to rriir aao politichs me sudharo sochiety|||||,1
es kutte ko jail me dal do .desh drohi hai,1
sinajori,1
haan sahi kaha jhab pm ko jutey padh saktey to bhi 56 inchh ko tho chongress neta kis kheht ki muli hai,1
"# arvin khvabon se bahar niklo aur dekho kashmir india ka tha , h , aur rhega| and vase bhi kashmir m hum kafiron k bahut sare religious plaches h zo uski beauty ko char chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbad kr rha h| tum log jisko zo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko voh kehte h vagarah vagarah|",1
shri shri jinake lie puri sarakara ne dilli me yamuna bhi barabada hone di sari suvidha di unase milane se deshavirodha ka kya matalaba beshaka koi aura milata to use tamaga aura pakistana ka nivasa milate,1
"modi ji aba aisa bhi kanuna kara sakate hai , ,ki gariba aura ama janata vota hi na kare| aura vota karana hai to modi ko hi kare|nahi to ama logoko kana pakadaneko kaha sakate hai| rashana bhi bamda kara sakate hai|aba saba satta akele hi hathame hai| ama loga kahi na kahi pareshana hone chahie , bhramishtha hone chahie , sochanekelie dimaga hi bamda hona chahie ! ! ! eaisa hi kanuna bana sakate hai| janata jae bhadame ! aisi hi socha hai modiji ki ! basa baki kucha nahi|",1
jubana di thi to jubana ki kimata nibhai sara mumda ke ye to mere lie garva ki bata hai|,0
is gadhe ke gand main itna bambu dalo sala marhi jaye,1
kharat has apn bhahin la elliperienche hai| bhikul sahi send kar de harriish la|,1
ravish ji ap ke kasbe mein sirf chongressi rahte hai,1
bhole tt sheada kon log h india m deobndi or brelvi ?,0
iski ma ki chut dalle ki bahan ka loda gandua shala madarchod kutte ka bij,1
"to ab kan khol ki sun lo chongresiyo |||56 '' ka shena modi zi to bahut jald hi dekhane wala hai par tum chongresiyo antakiyo ki marna par rona , or inko bachane ki liya rat ko supreme chourt zana , sarjikal staik ka sabut mangna , or antkiyo ki liya khulla supportr ban na or manisankar , degvijay or nirupam jaisa antaki supportro ka gala kab dabne ja raha ho pahala yeh desh ko batao||||",1
chingress me sab chaplus hai,1
yahn pakistan m babri masjid ko shaid ni kya jata,1
ammi jan ko bhej porki||| unko khushi ka hissa bna lenge|,1
hahahah |bevkuf india mei ghus k mara aur wo bhi chupke ||haha| aur kashmir p already india ka kabja a||mere stupid bhaia,1
jab iska do ... ... . ki allaha tallaha ke phajala se pakistani jela mem sajaa kata rahe atamki jaki-ura-rahamana-lakhavi ki patni peta se hai ! allaha bada halalu hai,1
ghold mila hota baki indians sab khane ke liye marte|||,1
o chov k peshan piny vali qom aram sy,1
aby india valo tum logo ko sharam bhi nahi ati jhot bolte hovy bhi,1
soniya aura pappu ke talave chata chata kara manasika santulana kho baithe hai yaha dugadugi miyam | eka pagale ke pralapa se adhika kucha nahim hai isa ke bayana |,1
barbad-e-gulistan karne ko ek hi ullu kafi tha ab hal-e-gulistan kya hoga har shaq par ullu baitha hai|in jaise logon ki vajh se hi aj hmari yh halat h,1
"karo dua ki phir se na kahi bhi koi kasab paida ho , mao ki kokh se bus bhagat , karkare , salaskar se arritab paida ho|||",0
chl be fake achchount jyada na bol himmat hi ni h za na apne page me bar 2 pta ehi hu pakistan k page ja ni h na to bna le tra desh kya ho rha h bhut achche se pta nikl lo and vit and vatch india ku6 t9 krega zarur fir puchenge,1
shir aap ko salute nehi ton apki vi halat ktjribal jeise hote,1
bh # # i k vorldpoverful chountry jesa koi vord ni hota tum pakistaniyon ko ek hi phrase ata h bolna our boys played vell : p iske bad fatt jati h tum logon ki sale pura india hi a gya na je uth k bomb aur missile ki bi jrurat bi ni pdegi thappad mar mar k hi 72 huron k pas bhej denge tumharko smjha chake : /,1
~nar tho thum muslim khon sa indea ka sat detha hai tum mullo ko tho bhut khuse hotha hai,1
bas time a gaya hay sir,1
es chutiye ke liye bhi 2 shabd kah do||||| bhala hoga tumhara,1
rashtriya parti ka simatata kshetra,1
hahahahahhaha hundustaniyo ye tum lugo k nasil k kuttay nhi hai|||ye kashmir ka vedio nhi hai|||tum endian apni gand dholo dal nikli hugey tumhari,1
phr kbbb tren yatriyo ke liye to tichket ek yuddhya ho gya hai,1
sirpha 1 varsha taka bharata ko lagatara sijaphayara ka aulamghana karana chahiye bina ruke taba.datoda goliya mauratara shella phayara karane chahiye yahi paka ka ilaja hai,1
ye bhi khoja ka vishaya hai ... ki modi ji ke kauna se aise kama hai jinase janata khusha ho kara bampara bahumata de rahi hai ? kyom ki ... na ma.nhagai ghati na kisana atmahatya ruki na bhrrishtachara kama hua na gumdaraja khatma hua na nokarashahi khatma hui na kashmira ke halata badale balki bada se battara hue na pakistana para shikamja majabuta hua na china ne a.nkha dikhani banda ki na atamkavada ka khatma hua na rojagara ba.dhe na kisanom ko unaka samarthana mulya mila na garibo ke lie kalyanakari yojanaem bani na kaladhana vapasa aya na notabamdi se logom ko phayada hua na videshi daurom se labha mila na kamgresa ke damada para karyavahi hui na 2g ghotale ke doshi jela gaye na koyala ghotala karane vale jela gaye na kamanaveltha gema ke gunahagara jela gaye na gamga sapha hui na rela durghatanaye ruki na kamgresa mukta bharata hua balki kamgresa yukta bijepi ho gai na vijaya malya ko paka.da gaya na lokapala ko pasa kiya ulte rti ke adhikara kama kiye na shiksha ke kshetra mem koi sudhara hua ulte bajata kama kiya na svathya ke kshetra mem koi sudhara kiya na sarakari haspitala ki sthati sudhari na sabaka satha sabaka vikasa hua . . . to kya badala 3 sala mem jo janata itana khusha hai ki hara chunava mem bijepi ko bampara bahumata mila raha haim aura bharata me bijepi ekachatra raja ki tarapha ba.dha rahi hai|bijepi sirfa hindu muslima ko ladane ki rajaniti kara rahi hai vo bhi sirpha vota baimka ke lie aura satta pane ke lie| kya koi hai jo isa paheli ko samajha sake apake javaba ka imtajara hai ? isa posta ko dekhakara aba bijepi ke chamachom ki phategi aura ai baukhala ke apane ma behana aura bapa ka parichaya demge.. ... .. .. .. .. . dhanyavada ... ... . jaya himda|,1
