text,hs
j'ai personne a m'adresser reclamer . voisin c'est attarde puant bruyant administrat... @ url,1
# duisburg 4 refugies arabes lardent coups couteau ado allemande enceinte 5 mois cru  p... @ url,1
 sale juif  mis avant contrairement autres mdr # lejouroujaibrulemoncoeur,1
@ user ramene maladie jerusalem ? ],1
rt @ user y'a meuf classe pleins racisme envers arabes taleur traiter asiatique ching cho,1
zemmour aphatie radicalite l'un terrorisme intellectuel l'autre ... maladie : ideologies vic... @ url,1
secours catholique ardent promoteur l'ensauvagement l'islamisation l'europe ! catholicisme devo... @ url,1
tue c'est meme offset marre cardi b wallah apars reuss personne peut supporte cette grosse mongol,1
mdrr fallou mongol vrai sai sai regardez deal  pose a  animatrice ... @ url,1
40 annees laxisme gauchiste ! ! ! ! @ url,1
@ user sunnites autorisent meurtrespedophiliepolygamie violence contre femmes etc.tous pays... @ url,1
@ user @ user fils putes autant quand aime noirs arabes,1
noirs milieu rebeus technique  lyon ca @ url,1
kevin bat tous rebeus moustache pr mieux froisser berka # verite,1
@ user @ user comme n'etes juif etes con sale .,1
liverpool  islam psg terrorisme fuck nasser,1
grece : transferts refugies migrants vers continent  accelerent @ url @ url,1
@ user @ user  islam valide terrorisme  oppose fait daesh  absolument e... @ url,1
feuilleton betisier ( 3 ) cohn bendit parlant jlm complotiste anti macronien normal vu formation trotzkiste... @ url,1
@ user brefffffffffff  attarde plus psq aller rester point vue mien donc revoir,1
@ user ds campagnes ..ou macron met 72 migrants village 400 personnes ... vont aller l... @ url,1
migraction 59 faveur migrants calais @ url via @ user,1
@ user cet attarde mental meme diplome . donnez emploi a chomeur .,1
migrants finlandais aveugle ! @ url,1
@ user wallah frere  a renois ici si disent mal arabes dorment archi mal ( hamdoulla... @ url,1
noirs rebeus veut tous eradiq... @ url,1
plutot collabos gauchiste tourne yeux leurs pauvres congeneres causes d'eux mi @ url,1
waves renois phobie ca  angoisse,1
a geneve hein.. crois  aussi debile ici pauvre attarde  . va falloir aller ramasser s... @ url,1
@ user c'est cet attarde,1
si tuerie # complotiste # antisemite # pittsburgh frappe aujourd'hui # usa n'oublions cette ideol... @ url,1
renois font gars cite courent comme mbappe chien connait # cesoirtribunal,1
@ user @ user @ user rends compte ? soldats couche giflent tous pays arabes voisins . respect !,1
rt @ user quand voit carnage maduro gauchiste prefere melenchon ude4c @ url,1
rt @ user @ user @ user @ user @ user gauchiste libertaire catholique tres orthodoxe,1
@ user c'est video apparemment c'est plus dire qu'il spontane ca voit c'est peu mongol bande,1
[ serie d'agressions violence : faits trop peu nombreux corse ] ( @ url via... @ url,1
@ user augmentation violences proportionnelle a l'arrivee migrants africains illegaux france . paris e... @ url,1
 a twitter noirs font bruit allah dehors jamais vu noir dire sale arabe  inverse hein,1
renois abusez a tomber milieu piste bowling,1
voici fait macron moment applique plan diabolique  islamisation france reveillez mer... @ url,1
faire comparatif entre # shoah # juifs & amp ; ' # invasion # migrants majorite # economique es... @ url,1
@ user c'est propre a gauche terrorisme intellectuel l'histoire l'a demontre montre encore .,1
@ user qu'il deguise arabe noir juif sais quoi j'm'en branle . deguiseme... @ url,1
# immigration # islam quand clans arabes font loi allemagne . tant laxisme fait vomir . lire . @ url,1
renois trompent beaucoup blancs trompent mieux . mdr waow keske j'raconte,1
@ user waw jvai defoncer jiji parles comme ca aime violence jv briser grosse pomme terre va,1
@ user @ user  antisemitisme jours vient  extreme-gauche  islam .,1
@ user surtout arabes . parfait sport plus buveurs vent leurs... @ url,1
genre jai envoye seance dmuscu snap gar dit mere sale arabe avc vieux chanteur parlant ch... @ url,1
ah oui presse francaise va continuer d'expliquer qu'un arabe criant allahu akbar tuant mecreant n'est... @ url,1
 montee populismes  explique cette peur migrants clandestins  @ url,1
@ user memes font morale contre l'avortement ... .,1
allemagne : clans arabes font loi ... .,1
juif : bonnes fetes roch hachana,1
contre l'immigration l'islamisation france seul parti defend france c'est rn ( dlf ) @ url,1
@ user  sale arabe tous memes  envie gifler,1
renois genes titans wsh poussent 3 jours stock,1
c'est attarde ! tombe !,1
@ user @ user gagner temps notons a present c'est lobby juif controle a fois :,1
@ user @ user tant d'imbeciles realisent a quel point l'invasion arabo-musulmane l'europe peut etre dangereuse .,1
 pietine mere  sale noir sale arabe ,1
rt @ user tous potes clara m'appellent pote chinois mdr ouf g l'impression tant ressembler noich q,1
grande-bretagne : priere musulmane recitee ( arabe ) avant  ouverture session conseil municipal d... @ url,1
rebeus pp messi death note ca parle puces @ url,1
sasuke bete naruto attarde donc sasuke @ url,1
@ user ca attires rebeus,1
# lfauit @ user doit voir # mongol,1
reponse type gauchiste scandale # nickconrad : condamne ...,1
seigneur j'apprends qu'une giga pute ancien lycee gueule contre l'avortement .,1
bah non rebeus aussi grosse bite  bon tg @ url,1
@ user non torchon national gauchiste marianne fait article contre mechencon revealleluia !,1
quel mongol fait cela ? signature ... @ url,1
nouvel eldorado rebeus plus trading mtn c'est l'aeroport,1
ferme gros mongol retourne tweeter merde @ url,1
capable lacher sale arabe sale negre sous l'effet colere premier degre ... j'ai u... @ url,1
ca enlevez ca localisation allez voir renois1 pcq localise renois 2 vu  a trop con... @ url,1
@ user bon tg force sale arabe,1
vegans sont-ils contre l'avortement ?,1
maghrebines attires renois elles comme lgbt oblige revendique .,1
@ user @ user frequemment arabes reconaissent france belle mieux sans francais !,1
@ user sale comme juif ...,1
gare propos islamophobes facho gauche droite . l'islam belle religion paix partag... @ url,1
top : @ user 'bienvenue a # cergy migrants africains completement nus agressent sauvagement francais... @ url,1
 aime meufs renois ?  bah pourquoi aimerai ? @ url,1
@ user clair . veulent etre rebeus renois reussir a pecho meufs reste s... @ url,1
ferme geule connasse chansons rebeus si veux vivre comme ca etc rentre chez ici france # udpp,1
lmao yaura moins rebeus certaines lignes actuelles ratp @ url,1
viens decouvrir mode nuit twitter vraiment attarde,1
renois peux dire l'aime bien trouve belle psk sinon tete va croire bey... @ url,1
@ user @ user raciste mdrrr quel veut parler renois parle mal femmes rebeu,1
# hdespros @ user vient plateau comme tout gauchiste veut imposer discours . font de... @ url,1
tout s'est passe trump continue d'alimenter theorie complot antisemite ... pays perdition.... @ url,1
gateaux rebeus : etape 1 @ url,1
@ user @ user negationnisme racisme anti-blanc l'islamo-gauchiste @ user meme argume... @ url,1
degout degout degout . faut accueillir migrants africains alors ' richesses pourrai... @ url,1
@ user @ user pck tape tjr actions renois griezmann,1
@ user l'africanisation l'islamisation l'europe c'est l'importation murs associees . n... @ url,1
invite afrique - algerie :  migrants beaucoup plus vulnerables maintenant  leila berrato @ url,1
tous jours negro  fridayyy,1
@ user encore mechants blancs oppresseurs n'ont qu'ils meritent . logiciel gauchiste reste... @ url,1
@ user c'un attarde j'suis mort tellement fier,1
@ user bah s'ils disent qu'ils francais donc migrants ? faut donc expulser !,1
@ user gros vas  mettre aussi ?  a renois demandent dire nigga dites nigga... @ url,1
malheureusement # france perdu dix retrouves ! # migrants # stopimmigration @ url,1
renois rebeus creent division entre communautes devrait enfermer goulags,1
perso j'accueillerais bien 1 migrant chaque nick conrad a expulser .,1
