text,hs
ismael egocentrico vuelve loca si dicen pelo bonito define objetivo # firstdates251,0
"..ya tardaba salir pronunciase nombre catalan silaba aguda si plana [ eduaaard ] , [ erneeest ] , [ albeeert ] ingleses",0
"( discurso politico razonado , obviamente , solo llamada atencion plan `` joder , cuesta saber cosas '' )",0
"despreciados , siiii , vestidos alta costura espanola extranjera derechona burguesa verdad , ... https : //t.co/5unio6c3yf",1
marica explicame veces entiendo .  vez venir ensuciar cc insultos homof ... https : //t.co/hsgmfcetos,1
"abusan 1400 ninas 16 anos policia tenia miedo llamasen racistas , moros # muslimban https : //t.co/2litt1zqfn",0
"ridiculo , ayer dije arabe necesario comer culos iban discriminarle tacharon racista",0
39 . considero genero binario pronombres ella/ elle,0
@ superfalete jajajajaja . jodes maricon .,1
cojones tan racistas blancos hoy dia hetero patriarcado inver... https : //t.co/ujmxe6fnpq,0
gente pretende burlar feminismo diciendo `` machista opresor '' cogido libro puta vida sabe,0
puto momento tumblr decidio `` ojos negros pozos '' `` piel aceitunada '' ser blanco papel ojos grises .,0
rovira lleva siendo subnormal 1980 .,1
"cine serias progre guay demas facha , fascista ... https : //t.co/ap7wyvzpqw",0
mejor momento dia irme cama mamona,0
dale `` gusta '' pagina facebook recibiras menos 24 horas sodomita enloquecido amazon .,1
socialista ? psoe ? https : //t.co/5shb4ob2q7,0
"buah haria nunca twitter , lleno rojos mierda .",1
contado historia guiri detras mio ? hombre mas subnormal favor,1
"heterofobica ? , entiendo amiguita .  heterofobia existe carino https : //t.co/dem6sxp8uj",0
"joder , llega punto alguien abre boca decir favor feminismo matamos .",0
"independentista dice cultura , historia lengua # valencia # baleares : `` tambien '' . # laindependenciaensroba https : //t.co/mlp1f38uds",0
@ barandaand @ lapaseata actores fachas ...,1
marica ones cargo dijo voy pegar tiro `` 2 semanas despues sigue silencio escondido ``,1
ver si dan goya youtuber llevo hostia subnormal .,1
@ mralvatros25 @ edd33martin hecho dos subnormal,0
"@ sabakjacare ideas racistas , xenofobas , machistas ... defiende trump . siento respetable.por comparo",0
@ francis76440634 manchego maricon deberia tener sucia boca callada . digo bien . luego esconde razon ratas .,1
"@ angelptzuo si diutado pp dijese wyoming , evole ferreras `` verguenza '' tachariais fascista arriba ...",0
"@ francis76440634 dia preescolar ataque izquierda , dia hare maricon , nunca . jajaja",0
lesbiana ?  https : //t.co/5utfztwgqb,0
