,text,hs,translated_text
0,ismael egocentrico vuelve loca si dicen pelo bonito define objetivo # firstdates251,0,Issmael egocentric returns crazy if you say nice hair define target # firsttdates251
1,"..ya tardaba salir pronunciase nombre catalan silaba aguda si plana [ eduaaard ] , [ erneeest ] , [ albeeert ] ingleses",0,".. It was slow to leave pronunciase name catalan silered acute if flat [eduaaard], [erneeest], [albeeeert] English"
2,"( discurso politico razonado , obviamente , solo llamada atencion plan `` joder , cuesta saber cosas '' )",0,"(Reasoned Political Speech, obviously, only Call ATTENTION PLAN `` fuck, it's hard to know things '')"
3,"despreciados , siiii , vestidos alta costura espanola extranjera derechona burguesa verdad , ... https : //t.co/5unio6c3yf",1,"Despised, Siiii, Dresses High Sewing Foreign Sticker Right Burgue, ... https: //t.co/5unio6c3yf"
4,marica explicame veces entiendo .  vez venir ensuciar cc insultos homof ... https : //t.co/hsgmfcetos,1,Marica explain me times I understand.Time to be dirty DC insults Homof ... https: //t.co/hsgmfcetes
5,"abusan 1400 ninas 16 anos policia tenia miedo llamasen racistas , moros # muslimban https : //t.co/2litt1zqfn",0,"Abuse 1400 Ninas 16 years old policeman was fear called racists, Moors # Muslimban https: //t.co/2litt1zqfn"
6,"ridiculo , ayer dije arabe necesario comer culos iban discriminarle tacharon racista",0,"Ridiculous, yesterday I said Arabic necessary to eat asses were discriminating against racist"
7,39 . considero genero binario pronombres ella/ elle,0,39.I consider gender binary pronouns she / elle
8,@ superfalete jajajajaja . jodes maricon .,1,@ Superfalete hahahahaha.Fucks Maricon.
9,cojones tan racistas blancos hoy dia hetero patriarcado inver... https : //t.co/ujmxe6fnpq,0,White racist cojones today Hetero patriarchy Interior ... https: //t.co/ujmxe6fnpq
10,gente pretende burlar feminismo diciendo `` machista opresor '' cogido libro puta vida sabe,0,People aims to make funny feminism saying `` machist oppressive '' taken book whore life knows
11,puto momento tumblr decidio `` ojos negros pozos '' `` piel aceitunada '' ser blanco papel ojos grises .,0,fucking moment Tumblr decided `` black eyes wells '' `olive skin '' be white paper gray eyes.
12,rovira lleva siendo subnormal 1980 .,1,Rovira has been subnormal 1980.
13,"cine serias progre guay demas facha , fascista ... https : //t.co/ap7wyvzpqw",0,"Serious Cinema Great Great Facha, Fascist ... https: //t.co/ap7wyvzpqw"
14,mejor momento dia irme cama mamona,0,Best Moment Day Going Mamona Bed
15,dale `` gusta '' pagina facebook recibiras menos 24 horas sodomita enloquecido amazon .,1,dale `` like '' page Facebook you will receive less 24 hours Sodomite crazy Amazon.
16,socialista ? psoe ? https : //t.co/5shb4ob2q7,0,Socialist?PSOE?https: //t.co/5shb4ob2q7.
17,"buah haria nunca twitter , lleno rojos mierda .",1,"Buah would ever twitter, full red shit."
18,contado historia guiri detras mio ? hombre mas subnormal favor,1,Could History Guiri Behind Mio?Mas Subnormal
19,"heterofobica ? , entiendo amiguita .  heterofobia existe carino https : //t.co/dem6sxp8uj",0,"Heterophobic?, I understand friend.Heterophobia exists Carino https: //t.co/dem6sxp8uj"
20,"joder , llega punto alguien abre boca decir favor feminismo matamos .",0,"Fuck, it's point someone opens mouth say favor feminism we kill."
21,"independentista dice cultura , historia lengua # valencia # baleares : `` tambien '' . # laindependenciaensroba https : //t.co/mlp1f38uds",0,"Independentist says culture, history language # Valencia # Balearicos: `` too ''.# Landependencianew HTTPS: //t.co/mlp1f38uds"
22,@ barandaand @ lapaseata actores fachas ...,1,@ BarandaAnd @ Lapaseta Actors FACHAS ...
23,marica ones cargo dijo voy pegar tiro `` 2 semanas despues sigue silencio escondido ``,1,Marica Ones Cargo said I'm going to hit shot `2 weeks later Follow Silence Hidden`
24,ver si dan goya youtuber llevo hostia subnormal .,1,See if they give Goya YouTuber I have subnormal host.
25,@ mralvatros25 @ edd33martin hecho dos subnormal,0,@ mralvatros25 @ edd33martin made two subnormal
26,"@ sabakjacare ideas racistas , xenofobas , machistas ... defiende trump . siento respetable.por comparo",0,"@ SabakJacare racist, xenophobas, macho ideas ... Defend Trump.I feel respectable.Por Comparo."
27,@ francis76440634 manchego maricon deberia tener sucia boca callada . digo bien . luego esconde razon ratas .,1,@ Francis76440634 Manchego Maricon should have dirty face quiet.I say well.Then it hides rats right.
28,"@ angelptzuo si diutado pp dijese wyoming , evole ferreras `` verguenza '' tachariais fascista arriba ...",0,"@ Angelptzuo If diped pp said Wyoming, Evole Ferreras `` embarrassment '' Tachariais fascista above ..."
29,"@ francis76440634 dia preescolar ataque izquierda , dia hare maricon , nunca . jajaja",0,"@ francis76440634 pre-school day attack, day Hare Maricon, never.LOL"
30,lesbiana ?  https : //t.co/5utfztwgqb,0,lesbiana ?  https : //t.co/5utfztwgqb
31,siento profundamente subnormal empatizando propios personajes .,0,I feel deeply subnormal to empathizing own characters.
32,@ noalaiddegenero @ lionalvawest @ amazon @ potus fascistas sharia cristiana crimen ! ! ! https : //t.co/jisnssqtuz,0,@ NOALAIDDEGENOERO @ Lionalvawest @ Amazon @ drink Fascistas Sharia Christian Cristiana!!!http: //t.co/jisnssqtuz
33,@ 7josean7 @ zurine3 @ migorrotxategi @ roberuriarte @ monederojc dos estupendas @ zurine3 defendido feminismo dignidad,0,@ 7Josean7 @ zurine3 @ migorrotxategi @ roberururyarte @ mondenjc two super @ zurine3 defended feminism dignity
34,"@ pepone34 @ barreracuevasfr dos horas clavando senalita suelo , mamona ! !",0,"@ Pepone34 @ barreraquasfvascar two hours nailed Senalite floor, Mamona!!"
35,joven nigeriano podria ser deportado propia muerte . suecia dice puede `` probar '' gay . firma : https : //t.co/hpiqfntf0w,0,Young Nigerian could be deported his own death.Sweden says can` `try '' gay.Signature: https: //t.co/hpiqfntf0w
36,"@ feelspheal hice pasar tia vez lol llamaron feminazi , puta guarra , zorra tendria fregando cocina",0,"@ FeelSpheal I made TIA time LOL called Feminazi, slut, slut I would have scrubbing kitchen"
37,ghostt subnormal nota legua ...  mira llora puto bizco https : //t.co/1nkevvwn0q,1,GHOST SUBNORMAL Note Legua ... Look Clicora fucking bizco https: //t.co/1nkevvwn0q
38,independentista ( ergo facha ) llama  nacionalista  # oletu https : //t.co/cleiou8aqr,0,Independentista (Ergo Facha) Nationalist Flame # Oletu Https: //t.co/cleiou8aqr
39,"@ coquegarcia @ albertguma @ rlvrlvrlv . tuene usted , independentista , santos cojones llamarme  nacionalista  , siendo izquierdas",0,"@ Coquegarcia @ AlbertGuma @ RLVRLVRLV.you see, independence, holy balls call me nationalist, being left"
40,@ 7estebaan tweet escrito mas fascista @ javitoboned,0,@ 7Eban Tweet written but fascist @ javitoboned
41,"veo # goya2017 . admiro actores normales , millonarios subvencionados espanoles ... presumen rojos",0,"I see # Goya2017.I admire normal actors, expanoral subsidized millionaires ... Presume red"
42,@ francis76440634 coletas corto . mano embargar calzones inda demasiado monguer .,1,@ Francis76440634 Short pigtails.Hand overwhelming polls too Mongueer.
43,"crees machista , homofobo , racista , etc ?  , luego , sobretodo habernos ... https : //t.co/odwo5nnvjd",0,"Do you think macho, homophobe, racist, etc?, then, especially have ... https: //t.co/odwo5nnvjd"
44,puta casa lamerle culo retrasado lmao,1,Whore house licking ass delayed LMAO
45,hacer mujer hetero vuelva bollera yahoo respuestas,0,do female hetero go backball yahoo answers
46,karra elejalde tambien sodomita ? ? ? ? # goya2017,0,Karra Elejalde Tambien Sodomites????# goya2017
47,dictador parece pelicula 5 https : //t.co/9gweix04al @ tviso_es,0,Dictator looks like Movie 5 https: //t.co/9gweix04al @ tviso_en
48,@ quiquechust conclusion : er benni cabron facha ayudo trum,1,@ Quique Chust Conclusion: ER Benni Cabron Facha Help Trump
49,peli trueba tampoco ganado ningun goya culpa boicot fachas # goya2017,0,Peli Trueba either won any Goya fault Boicot fachas # Goya2017
50,@ lamismamente @ sylvyako @ polibueno691 @ aeperio @ albert_dmcat andaluza orgullosa ser espanola ! si negra kkklan,1,@ Lamismly @ sylvyako @ polybueno691 @ aeperio @ albert_dmcat andalusa proud to be a spanish!If Black Kkklan.
51,creo mundo alguien mas asco mas subnormal dani rovira .,1,I think world someone more disgust more subnormal Dani Rovira.
52,ideas congraciarse # boycotalosgoyas : nombrar premios callejero facha . ej : goya general mola mejor guion original,0,Ideas Incrattar # Boycotalosgoyas: Name Street Prizes Facha.Ex: Goya General Mola Best Original Screen
53,@ wleeed48190095 seguramente rabo mas largo moro mierdaaa !,1,@ Wleeed48190095 Surely Dick Longer Moro Shit!
54,"@ carlospuli94 desgraciadamente aficion prioritario ; ahora televidentes , prioritariamente china ...",0,"@ carlospuli94 Unfortunately priority hobby;Now viewers, priority China ..."
