comment_id,post_id,anonymized_user,message,created_at
1,1,d766dfb93914e8da,"gleich an die wand stellen und erschiessen..","2015-03-28 01:59:28"
2,1,6e49f84e2a5a1f05,"nicht dass ich der Grundbotschaft dieses Post's widersprechen würde, aber 1 Rechtschreib- und 1 Grammatikfehler in einer so kurzen Beschreibung stärkt leider nur das clichee ""blau-Wähler haben nichts im Hirn"" bei dem politischen Gegenüber.","2015-03-28 01:59:28"
3,1,6ab1ef4615c45a79,"Das mit dem ""an die Wand stellen und erschiessen""","2015-03-28 01:59:28"
4,1,6ab1ef4615c45a79,"Seit dem ""an die Wand stellen und erschiessen"" sind in Deutschland nun etwa 60 Jahre her.","2015-03-28 01:59:28"
5,1,03c34eadeee054d7,"Ja ja die Kriminelle Heimatpartei FPÖ von Kinderpornografie beim Orts Chef von Burgenlabd bis Waffenhandel von Betrug Verhetzung bis Körperverletzung von falscher Zeugenaussage bis Mord bei RFJ....bezirksleiter schießt 13 Jährige über den Haufen Bundesrat wegen Wiederbetätigung verurteilt","2015-03-28 01:59:28"
6,2,0a2677e4af5c892b,"Ihr seids empfindlich . . Is beste wos uns passieren kann is , das Sie die Herrschaften selbst Niederfeiln . Und Ihr grünen . Euch wollte ich Danken . Euch Hurenkinder können wir den ganzen Scheiß verdanken.","2015-04-01 02:04:24"
7,2,a083e009d85b9476,"Mei bitte, sie sollen sich alle gegenseitig abstechen! Problem gelöst!","2015-04-01 02:04:24"
8,2,d5d9e05c5bc9cff0,"Wahnsinn.... :-(","2015-04-01 02:04:24"
9,2,8acea189036f77df,"Alles nur traumatisierte Kindlein.  Die von den Grünen bezahlten Anwälte werden es schon richten. ?","2015-04-01 02:04:24"
10,2,0d7f58a3b74f2739,"Fachkräfte bei der Arbeit. Ein Hirnchirurg und ein Atomphysiker...","2015-04-01 02:04:24"
11,2,6ab1ef4615c45a79,"Unglaublich, was für ausländerfeindliche Kommentare man immer wieder zu lesen bekommt und unglaublich, wieviel Nazi noch in vielen Deutschen drinsteckt.","2015-04-01 02:04:24"
12,2,ad5d900a142b969f,"ich staune nur daß in österreich dieses problem so rasch ankam. eigentlich sin die doch immer so 40jahre danach","2015-04-01 02:04:24"
13,3,bc585a3055871e0d,"Das ist multi Kulti","2015-04-02 21:49:12"
14,3,033aa6f740c8dd52,"Es soll doch jeder in sein eigenen Land bleiben,da können Sie sich Untereinander von mir aus Totschlagen..........","2015-04-02 21:49:12"
15,3,35513e8c26ddbaab,"Supie! Sie löschen sich gegenseitig aus! Hoffentlich bald!","2015-04-02 21:49:12"
16,3,d4256c30979a1182,"jagt dieses Dreckspack raus.","2015-04-02 21:49:12"
17,3,ad1f3b6bd592da8f,"die regierung will es doch so ,polizei schaut bitte nur zu lass die sich mal selber dezimieren schont euch","2015-04-02 21:49:12"
18,3,8304cf70d86b2ff6,"weiter so freut mich das alle gutmenschen aufwachen","2015-04-02 21:49:12"
19,3,daecff65d1a3bb2f,"beide volksgruppen sofort ausweisen das eizige legitime mittel","2015-04-02 21:49:12"
20,3,ad5d900a142b969f,"warum hauen die ösis nicht drauf die könnens doch die haben doch keine geschichte, die ihnen dauernd ungerechtugterweise vorgehalten wird. andere länder hatten auch schlechte machthaber, da spricht keiner drüber immer nur wir und die frau kriegt den mund nicht auf","2015-04-02 21:49:12"
21,3,38e331b6355cb3e5,"alle raus da wo die herkommen aber ALLE und das problem ist gelöst !!!!","2015-04-02 21:49:12"
22,3,315c6159eac8ca31,"damit müssen wir laut der merkel leben . ich sage raus mit denen und die sollen die merkel direkt mit nehmen","2015-04-02 21:49:12"
23,3,be79669073a9e567,"Dreckspack entsorgen.","2015-04-02 21:49:12"
24,3,e9a96fbddd43a3eb,"R A U S mit dem P A C K","2015-04-02 21:49:12"
25,3,6ab1ef4615c45a79,"..hat mit Volksgruppen nichts zu tun, findet unter Deutschen ständig statt: Rockergruppen, Hooligans usw.","2015-04-02 21:49:12"
26,3,de7ad1a45d4b5f25,"ab nach hause und gibt ihnen genug waffen mit um sich zu killen ! problem gelöst","2015-04-02 21:49:12"
27,4,bd3542afe99960e8,"Warum hat niemand der Frau geholfen?Den Verbrecher sollte man verrecken lassen anstatt ihm zu helfen!","2015-04-13 16:02:53"
28,4,292123b730ef63d9,"Supa gail !","2015-04-13 16:02:53"
29,4,18bed17fe5d1de61,"hoffentlich tut es ihm ordentlich weh !!!","2015-04-13 16:02:53"
30,4,ed99f86caf9cdac8,"schade das er es überlebte","2015-04-13 16:02:53"
31,4,0144161019d837d2,"Hoffentlich verbleibt er Ö nicht lebenslang als Pflegefall!","2015-04-13 16:02:53"
32,4,dec165b2784b8c50,"Die Rübe hätte ihm die Garnitur abfahren sollen, dem Arsch.","2015-04-13 16:02:53"
33,4,ad5d900a142b969f,"müßten vielmehr züge fahren, so mit nem kleinen bajonett vorn dran","2015-04-13 16:02:53"
34,4,d367cd40e2821a55,"Klar von Steuergelder auch noch Notoperiert. Hätte gleich noch ne U-Bahn losgeschickt. Einpacken und Ticket nach Algerien auf die Stirn drücken.......................","2015-04-13 16:02:53"
35,4,6ecff8e809fa2b02,"selbst schuld,ich bin durchaus kein feind gegen ausländer,denn unser freund ist aus pakistan,abere der typ gehört nicht ins krankenhaus,sondern auf den gleisen müsste man den liegenlassen","2015-04-13 16:02:53"
36,4,e2eddaedeca0d9f4,"Richtig so alle Krimos raus aus Deutschland,natürlich auch die Deutschen Krimos!","2015-04-13 16:02:53"
37,4,bb47b597cc6a8ec2,"einer weniger","2015-04-13 16:02:53"
38,4,0131786e97bdaa5f,"hoffentlich verreckt er der facharbeiter","2015-04-13 16:02:53"
39,4,e00f8af0bf1ddcf1,"Wer bezahlt den Hubschraubereinsatz für diesen Verbrecher?","2015-04-13 16:02:53"
40,4,de7ad1a45d4b5f25,"gleich bestaft ist doch super brauchen wir kei gericht","2015-04-13 16:02:53"
41,4,5e0c171a7146c0c8,"So viel Gesindel bei uns. Mir tut er nicht Leid.","2015-04-13 16:02:53"
42,4,8b2795cd37d22cb9,"auf den gleisen sterben lassen,das wäre ein fall von absoluter gerechtigkeit","2015-04-13 16:02:53"
43,4,2e738cee4819c967,"Ich muss mal eben auf die Kommentare bzw. deren Verfasser ??.","2015-04-13 16:02:53"
44,4,3ac81d7fb37ed4a8,"Politiker bekommen Personenschutz und wer schützt unsere Bevölkerung vor diesen Verbrechern und Abschaum ? Das ja den GROSSEN nichts passiert. Haben Angst um ihr bisschen Leben. Was ist mit der Angst die diese alte Frau jetzt hat? Die sollte Schmerzensgeld von der Bundesregierung einklagen die dieses Unrat in unser Land holt......","2015-04-13 16:02:53"
45,4,66e96e0c0c56672f,"Hätten das Kriminelle Ausländer ...... liegen lassen solln...","2015-04-13 16:02:53"
46,4,2270268fe7e8cc3f,"Dumm gelaufen für das Arschloch","2015-04-13 16:02:53"
47,5,853d85013f921fe9,"Als rein ins ländle mit dem gesocks. Wir haben noch platz","2015-04-16 13:18:21"
